#tail	head
APAF1	AVEN
TNF	CEBPA
TNF	SERPINB2
TNF	HIST2H4B
DDX41	PPIL3
DDX41	RBM10
DDX41	TCERG1
MAZ	MYCN
MAZ	GABARAPL2
MAZ	GMFG
MAZ	GRK5
MAZ	KLHDC3
MAZ	SERPINB2
MAZ	DLX1
MAZ	HNF1A
TCF12	TRAF4
TCF12	PIN1
RPL34	RPL10
HNF1A	ISL1
HNF1A	RLIM
HNF1A	CEBPA
HNF1A	VCP
HNF1A	DDX17
HNF1A	DLX1
PCBP1	RPL10
PCBP1	UBE2L6
PCBP1	REPIN1
PCBP1	PRPF8
PCBP1	SNRPC
PCBP1	WBP11
TRAF4	ZRANB1
TRAF4	KRT40
TRAF4	WBP11
DDX17	APP
DDX17	PPIL3
DDX17	PIN1
DDX17	REPIN1
DDX17	GABARAPL2
DDX17	RBM10
CEBPA	SIRPA
CEBPA	DLX1
FGF8	GLYR1
ZBTB14	PIN1
KLHDC3	TSPYL4
RNF138	UBE2A
RNF138	AMPD3
RNF138	APP
RNF138	UBE2V2
ISL1	REPIN1
ISL1	RLIM
ISL1	APP
LDB1	RLIM
PPIL3	SNRPC
PPIL3	PRPF31
WBP11	SF3B5
WBP11	TCERG1
SNRPC	RBM10
SNRPC	SF3B5
SNRPC	POLR2E
SNRPC	PRPF31
ERCC2	POLR1A
DLX1	REPIN1
DLX1	MYCN
BTF3	RPL10
EXOSC1	GLYR1
UBE2V2	HIST2H4B
SERPINB2	APP
PIN1	KRT40
UBE2L6	FBXO41
RPL10	PRPF8
RPL10	EMG1
UBE2W	RNF115
UBE2W	FBXO41
UBE2W	RLIM
UBE2W	REPIN1
EMG1	PRPF8
SOCS1	UBE2A
AMPD3	EXOSC5
AMPD3	RNF115
GABARAPL2	POLR2E
GABARAPL2	ENO1
HDLBP	APP
HDLBP	PRPF8
HDLBP	UBE2A
GRK5	MYCN
PIH1D2	HES7
APP	SIRT7
APP	ENO1
APP	HIST2H4B
APP	PSEN2
POLR2E	PRPF31
POLR2E	POLR1A
ITGB1	ENO1
RNF115	PSEN2
POLR1A	SIRT7
PDCD11	SIRT7
ENO1	PRPF8
PRPF8	SIRT7
PRPF8	VCP
KRT40	PRPF31
KRT40	ZMAT2
HIST2H4B	SIRT7
VCP	PRPF31
