#tail	head
ZNF668	MDM2
SPTB	CYP19A1
COL14A1	ACTN4
PRKAG2	ACSL5
PRKAG2	PDE2A
PRKAG2	NARS
PKM	ZNF598
PKM	UROD
PKM	CFL1
PKM	GABARAPL1
PKM	PRKAA1
PKM	ACAT1
PKM	RB1
PKM	GSTP1
PKM	GNG12
MDM2	PDIA3
MDM2	RB1
MDM2	GSTP1
MDM2	OGA
MDM2	ABCB1
MDM2	BCAR1
MDM2	BRCA1
MDM2	DDX42
RACGAP1	AP2B1
RACGAP1	PSMD1
RACGAP1	HIST1H3I
RACGAP1	DCTN3
SART3	BRCA1
DCTN3	MYC
DCTN3	OR5I1
DCTN3	SPTBN1
DCTN3	DYNLL2
DCTN3	PDGFD
DCTN3	NR3C1
LARP7	TBP
LARP7	NFIL3
LARP7	HIST2H4A
FST	NFIL3
GTF2A2	KAT2B
GTF2A2	NEUROD6
GTF2A2	BCL6
GTF2A2	PPFIA2
PSMD6	PELO
FAM170A	VAPA
CUX1	SH3KBP1
CUX1	CREBBP
CUX1	EYA4
CUX1	TAC1
CUX1	IGLV7-43
NEURL4	HSDL2
GALNT12	RB1
GALNT12	ADAM33
PAK6	CYP2C19
PAK6	HSD17B12
HSD17B12	RELA
HSD17B12	CFTR
HSD17B12	CYP19A1
HSD17B12	BRCA1
HSD17B12	DNAJB11
IGLV7-43	FGF22
IGLV7-43	PTEN
PTEN	EZH2
PTEN	NCOA1
PTEN	BCAR1
PTEN	DVL2
PTEN	CHGB
PTEN	SH3KBP1
PTEN	HIST2H4A
BCL6	DVL2
IFT22	DYNLL1
IFT22	DYNLL2
BCAR1	FXYD6
BCAR1	IRS1
BCAR1	GSTP1
BCAR1	MARCKSL1
NR3C1	CYP2C19
NR3C1	DDX27
NR3C1	ATP1B1
NR3C1	NUFIP2
NR3C1	PDE2A
NR3C1	ADCY6
BAZ1A	HIST2H4A
ABCB1	FLOT2
ABCB1	FGA
ABCB1	CFTR
ABCB1	RELA
ABCB1	SIN3A
ABCB1	CAMK2G
ABCB1	TNF
ABCB1	PRKAA1
NT5C1B	PDE2A
PDIA3	KLKB1
PDIA3	SLC39A13
PDIA3	OGA
PDIA3	ITGA2
SCN2B	FXYD6
NANP	VAPA
ASL	SP1
ASL	SLC25A2
ITM2B	SMTN
SMTN	TMPO
SMTN	CCT5
SMTN	SEPT7
HMGCR	ACSL5
HMGCR	NCOA1
NARS	AMPD2
NARS	DDX19B
NARS	OGA
SP1	PHKA1
SP1	OAZ2
SP1	FGF22
SP1	ANKMY2
SP1	ACTN4
SP1	CATSPER2
SP1	MYC
SP1	MARCKSL1
SP1	DCXR
SP1	HSD17B7
SP1	GSTP1
SP1	NCOA1
SP1	RB1
SP1	CYP2C19
SP1	HSDL2
HLCS	ALDH7A1
HLA-DRB4	DYNLL1
ATXN7	HIST1H3I
HSPA9	SEPT2
HSPA9	CUL7
HSPA9	SDHC
HSPA9	RELA
HSPA9	CFL1
HSPA9	SGF29
HS3ST4	GPC3
ACSL5	DDX42
ACSL5	ADCY6
ACSL5	NAGS
ACSL5	ELOVL5
ACSL5	SPR
ACSL5	SAT2
PTPRA	PHKA1
PTPRA	SPTBN1
COQ9	CPT2
COQ9	ECH1
RRAGB	MYC
RRAGB	ATG101
SLC6A5	SLC8A2
COX4I2	COX6B1
HIST1H3I	KAT2B
HIST1H3I	SIN3A
HIST1H3I	HIST1H2BC
HIST1H3I	BRCA1
HIST1H3I	SGF29
PDGFD	PIK3CB
HIST1H2BC	MPG
HIST1H2BC	BRCA1
HIST1H2BC	KIF18A
HIST1H2BC	NPM1
HIST1H2BC	BARD1
HIST1H2BC	SGF29
HIST1H2BC	HIST1H2AC
HOXC6	FGF8
HOXC6	CYP19A1
RB1	NECTIN1
RB1	BRCA1
RB1	MYC
RB1	HIST1H2AC
RB1	SAFB
RB1	KAT2B
TACR1	GNG12
TACR1	SH3KBP1
TACR1	TNF
RPS9	CUL7
RPS9	ACTG2
RPS9	OGA
RPS9	NPM1
COX7A2	COX7A1
KLKB1	SLC39A13
PDCD1LG2	FOXD1
CNTRL	PDHA1
CNTRL	SEPT2
RHOQ	NF1
