#tail	head	weight	pathway_name	pathway_ID	edge_type	tail_symbol	head_symbol
P37023	P01137	1	TGF_beta_Receptor	7	physical	ACVRL1	TGFB1
P37023	P37173	1	TGF_beta_Receptor	7	physical	ACVRL1	TGFBR2
Q9H1A4	Q9UM13	1	TGF_beta_Receptor	7	physical	ANAPC1	ANAPC10
Q9H1A4	Q9UJX6	1	TGF_beta_Receptor	7	physical	ANAPC1	ANAPC2
Q9H1A4	Q9UJX5	1	TGF_beta_Receptor	7	physical	ANAPC1	ANAPC4
Q9H1A4	Q9UJX4	1	TGF_beta_Receptor	7	physical	ANAPC1	ANAPC5
Q9H1A4	Q9UJX3	1	TGF_beta_Receptor	7	physical	ANAPC1	ANAPC7
Q9H1A4	Q13042	1	TGF_beta_Receptor	7	physical	ANAPC1	CDC16
Q9H1A4	Q9UJX2	1	TGF_beta_Receptor	7	physical	ANAPC1	CDC23
Q9H1A4	P30260	1	TGF_beta_Receptor	7	physical	ANAPC1	CDC27
Q9H1A4	Q9UM11	1	TGF_beta_Receptor	7	physical	ANAPC1	FZR1
Q9UM13	Q9H1A4	1	TGF_beta_Receptor	7	physical	ANAPC10	ANAPC1
Q9UM13	Q9UJX6	1	TGF_beta_Receptor	7	physical	ANAPC10	ANAPC2
Q9UM13	Q9UJX5	1	TGF_beta_Receptor	7	physical	ANAPC10	ANAPC4
Q9UM13	Q9UJX4	1	TGF_beta_Receptor	7	physical	ANAPC10	ANAPC5
Q9UM13	Q9UJX3	1	TGF_beta_Receptor	7	physical	ANAPC10	ANAPC7
Q9UM13	Q13042	1	TGF_beta_Receptor	7	physical	ANAPC10	CDC16
Q9UM13	Q9UJX2	1	TGF_beta_Receptor	7	physical	ANAPC10	CDC23
Q9UM13	P30260	1	TGF_beta_Receptor	7	physical	ANAPC10	CDC27
Q9UM13	Q9UM11	1	TGF_beta_Receptor	7	physical	ANAPC10	FZR1
Q9UJX6	Q9H1A4	1	TGF_beta_Receptor	7	physical	ANAPC2	ANAPC1
Q9UJX6	Q9UM13	1	TGF_beta_Receptor	7	physical	ANAPC2	ANAPC10
Q9UJX6	Q9UJX5	1	TGF_beta_Receptor	7	physical	ANAPC2	ANAPC4
Q9UJX6	Q9UJX4	1	TGF_beta_Receptor	7	physical	ANAPC2	ANAPC5
Q9UJX6	Q9UJX3	1	TGF_beta_Receptor	7	physical	ANAPC2	ANAPC7
Q9UJX6	Q13042	1	TGF_beta_Receptor	7	physical	ANAPC2	CDC16
Q9UJX6	Q9UJX2	1	TGF_beta_Receptor	7	physical	ANAPC2	CDC23
Q9UJX6	P30260	1	TGF_beta_Receptor	7	physical	ANAPC2	CDC27
Q9UJX6	Q9UM11	1	TGF_beta_Receptor	7	physical	ANAPC2	FZR1
Q9UJX5	Q9H1A4	1	TGF_beta_Receptor	7	physical	ANAPC4	ANAPC1
Q9UJX5	Q9UM13	1	TGF_beta_Receptor	7	physical	ANAPC4	ANAPC10
Q9UJX5	Q9UJX6	1	TGF_beta_Receptor	7	physical	ANAPC4	ANAPC2
Q9UJX5	Q9UJX4	1	TGF_beta_Receptor	7	physical	ANAPC4	ANAPC5
Q9UJX5	Q9UJX3	1	TGF_beta_Receptor	7	physical	ANAPC4	ANAPC7
Q9UJX5	Q13042	1	TGF_beta_Receptor	7	physical	ANAPC4	CDC16
Q9UJX5	Q9UJX2	1	TGF_beta_Receptor	7	physical	ANAPC4	CDC23
Q9UJX5	P30260	1	TGF_beta_Receptor	7	physical	ANAPC4	CDC27
Q9UJX5	Q9UM11	1	TGF_beta_Receptor	7	physical	ANAPC4	FZR1
Q9UJX4	Q9H1A4	1	TGF_beta_Receptor	7	physical	ANAPC5	ANAPC1
Q9UJX4	Q9UM13	1	TGF_beta_Receptor	7	physical	ANAPC5	ANAPC10
Q9UJX4	Q9UJX6	1	TGF_beta_Receptor	7	physical	ANAPC5	ANAPC2
Q9UJX4	Q9UJX5	1	TGF_beta_Receptor	7	physical	ANAPC5	ANAPC4
Q9UJX4	Q9UJX3	1	TGF_beta_Receptor	7	physical	ANAPC5	ANAPC7
Q9UJX4	Q13042	1	TGF_beta_Receptor	7	physical	ANAPC5	CDC16
Q9UJX4	Q9UJX2	1	TGF_beta_Receptor	7	physical	ANAPC5	CDC23
Q9UJX4	P30260	1	TGF_beta_Receptor	7	physical	ANAPC5	CDC27
Q9UJX4	Q9UM11	1	TGF_beta_Receptor	7	physical	ANAPC5	FZR1
Q9UJX3	Q9H1A4	1	TGF_beta_Receptor	7	physical	ANAPC7	ANAPC1
Q9UJX3	Q9UM13	1	TGF_beta_Receptor	7	physical	ANAPC7	ANAPC10
Q9UJX3	Q9UJX6	1	TGF_beta_Receptor	7	physical	ANAPC7	ANAPC2
