#tail	head	weight	pathway_name	pathway_ID	edge_type	tail_symbol	head_symbol
P00519	O15350	1	Alpha6Beta4Integrin	1	physical	ABL1	TP73
P31749	Q92934	1	Alpha6Beta4Integrin	1	Phosphorylation	AKT1	BAD
P31749	Q04912	1	Alpha6Beta4Integrin	1	Phosphorylation	AKT1	MST1R
P10275	P00533	1	Alpha6Beta4Integrin	1	physical	AR	EGFR
P42574	P31749	1	Alpha6Beta4Integrin	1	protein_cleavage	CASP3	AKT1
P48509	P23229	1	Alpha6Beta4Integrin	1	physical	CD151	ITGA6
A8K7I4	P16144	1	Alpha6Beta4Integrin	1	physical	CLCA1	ITGB4
Q9UQC9	P16144	1	Alpha6Beta4Integrin	1	physical	CLCA2	ITGB4
Q9UMD9	P15924	1	Alpha6Beta4Integrin	1	physical	COL17A1	DSP
Q9UMD9	Q03001	1	Alpha6Beta4Integrin	1	physical	COL17A1	DST
Q9UMD9	P23229	1	Alpha6Beta4Integrin	1	physical	COL17A1	ITGA6
Q9UMD9	P16144	1	Alpha6Beta4Integrin	1	physical	COL17A1	ITGB4
Q9UMD9	Q15149	1	Alpha6Beta4Integrin	1	physical	COL17A1	PLEC
P15924	Q9UMD9	1	Alpha6Beta4Integrin	1	physical	DSP	COL17A1
Q03001	Q9UMD9	1	Alpha6Beta4Integrin	1	physical	DST	COL17A1
Q03001	Q96RT1	1	Alpha6Beta4Integrin	1	physical	DST	ERBB2IP
Q03001	P16144	1	Alpha6Beta4Integrin	1	physical	DST	ITGB4
P00533	P10275	1	Alpha6Beta4Integrin	1	physical	EGFR	AR
P00533	P23229	1	Alpha6Beta4Integrin	1	physical	EGFR	ITGA6
P00533	P16144	1	Alpha6Beta4Integrin	1	physical	EGFR	ITGB4
P06730	Q13541	1	Alpha6Beta4Integrin	1	physical	EIF4E	EIF4EBP1
Q13541	P06730	1	Alpha6Beta4Integrin	1	physical	EIF4EBP1	EIF4E
P56537	P16144	1	Alpha6Beta4Integrin	1	physical	EIF6	ITGB4
P29323	P16144	1	Alpha6Beta4Integrin	1	Phosphorylation	EPHB2	ITGB4
P04626	P23229	1	Alpha6Beta4Integrin	1	physical	ERBB2	ITGA6
P04626	P16144	1	Alpha6Beta4Integrin	1	physical	ERBB2	ITGB4
P04626	P27986	1	Alpha6Beta4Integrin	1	physical	ERBB2	PIK3R1
Q96RT1	Q03001	1	Alpha6Beta4Integrin	1	physical	ERBB2IP	DST
Q96RT1	P16144	1	Alpha6Beta4Integrin	1	physical	ERBB2IP	ITGB4
P06241	P16144	1	Alpha6Beta4Integrin	1	physical	FYN	ITGB4
