#tail	head	weight	pathway_name	pathway_ID	edge_type	tail_symbol	head_symbol
O96019	Q01201	1	TNFalpha	9	physical	ACTL6A	RELB
O43823	Q04206	1	TNFalpha	9	physical	AKAP8	RELA
P31749	O15111	1	TNFalpha	9	Phosphorylation	AKT1	CHUK
P31749	Q09472	1	TNFalpha	9	physical	AKT1	EP300
P31749	Q04206	1	TNFalpha	9	physical	AKT1	RELA
P31751	O15111	1	TNFalpha	9	Phosphorylation	AKT2	CHUK
P05186	Q13114	1	TNFalpha	9	physical	ALPL	TRAF3
O14727	P55211	1	TNFalpha	9	physical	APAF1	CASP9
O95429	P19438	1	TNFalpha	9	physical	BAG4	TNFRSF1A
Q07812	P55957	1	TNFalpha	9	physical	BAX	BID
Q07817	P60602	1	TNFalpha	9	physical	BCL2L1	ROMO1
P20749	P19838	1	TNFalpha	9	physical	BCL3	NFKB1
Q4VC05	Q01201	1	TNFalpha	9	physical	BCL7A	RELB
P55957	Q07812	1	TNFalpha	9	physical	BID	BAX
Q13490	Q13489	1	TNFalpha	9	physical	BIRC2	BIRC3
Q13490	Q92851	1	TNFalpha	9	physical	BIRC2	CASP10
Q13490	Q14790	1	TNFalpha	9	physical	BIRC2	CASP8
Q13490	O15519	1	TNFalpha	9	physical	BIRC2	CFLAR
Q13490	Q9NR28	1	TNFalpha	9	physical	BIRC2	DIABLO
Q13490	Q13158	1	TNFalpha	9	physical	BIRC2	FADD
Q13490	Q9Y6K9	1	TNFalpha	9	Ubiquitination	BIRC2	IKBKG
Q13490	Q9Y6K9	1	TNFalpha	9	physical	BIRC2	IKBKG
Q13490	Q13546	1	TNFalpha	9	physical	BIRC2	RIPK1
Q13490	P19438	1	TNFalpha	9	physical	BIRC2	TNFRSF1A
Q13490	Q15628	1	TNFalpha	9	physical	BIRC2	TRADD
Q13490	Q13077	1	TNFalpha	9	physical	BIRC2	TRAF1
Q13490	Q12933	1	TNFalpha	9	physical	BIRC2	TRAF2
Q13490	Q12933	1	TNFalpha	9	Ubiquitination	BIRC2	TRAF2
Q13489	Q13490	1	TNFalpha	9	physical	BIRC3	BIRC2
Q13489	Q9NR28	1	TNFalpha	9	physical	BIRC3	DIABLO
Q9Y297	Q13616	1	TNFalpha	9	physical	BTRC	CUL1
Q9Y297	Q9UKB1	1	TNFalpha	9	physical	BTRC	FBXW11
Q9Y297	P19838	1	TNFalpha	9	Phosphorylation	BTRC	NFKB1
Q9Y297	P25963	1	TNFalpha	9	Ubiquitination	BTRC	NFKBIA
Q9Y297	P25963	1	TNFalpha	9	physical	BTRC	NFKBIA
Q9Y297	Q15653	1	TNFalpha	9	Ubiquitination	BTRC	NFKBIB
Q9Y297	Q15653	1	TNFalpha	9	physical	BTRC	NFKBIB
Q9Y297	O00221	1	TNFalpha	9	physical	BTRC	NFKBIE
Q9Y297	Q13200	1	TNFalpha	9	physical	BTRC	PSMD2
Q9Y297	Q14644	1	TNFalpha	9	physical	BTRC	RASA3
Q9Y297	P63208	1	TNFalpha	9	physical	BTRC	SKP1
Q9Y297	Q9UHD2	1	TNFalpha	9	physical	BTRC	TBK1
