#tail	head	weight	pathway_name	pathway_ID	edge_type	tail_symbol	head_symbol
Q08117	P10275	1	AndrogenReceptor	2	physical	AES	AR
P35869	P10275	1	AndrogenReceptor	2	physical	AHR	AR
P31749	Q9UKG1	1	AndrogenReceptor	2	physical	AKT1	APPL1
P31749	P10275	1	AndrogenReceptor	2	Phosphorylation	AKT1	AR
P31749	P10275	1	AndrogenReceptor	2	physical	AKT1	AR
Q9UKG1	P31749	1	AndrogenReceptor	2	physical	APPL1	AKT1
Q9UKG1	P10275	1	AndrogenReceptor	2	physical	APPL1	AR
P10275	Q08117	1	AndrogenReceptor	2	physical	AR	AES
P10275	P35869	1	AndrogenReceptor	2	physical	AR	AHR
P10275	P31749	1	AndrogenReceptor	2	physical	AR	AKT1
P10275	Q9UKG1	1	AndrogenReceptor	2	physical	AR	APPL1
P10275	P27540	1	AndrogenReceptor	2	physical	AR	ARNT
P10275	P15336	1	AndrogenReceptor	2	physical	AR	ATF2
P10275	Q99933	1	AndrogenReceptor	2	physical	AR	BAG1
P10275	P38398	1	AndrogenReceptor	2	physical	AR	BRCA1
P10275	P27797	1	AndrogenReceptor	2	physical	AR	CALR
P10275	Q03135	1	AndrogenReceptor	2	physical	AR	CAV1
P10275	P24385	1	AndrogenReceptor	2	physical	AR	CCND1
P10275	P30281	1	AndrogenReceptor	2	physical	AR	CCND3
P10275	P24864	1	AndrogenReceptor	2	physical	AR	CCNE1
P10275	P51946	1	AndrogenReceptor	2	physical	AR	CCNH
P10275	P30304	1	AndrogenReceptor	2	physical	AR	CDC25A
P10275	P30305	1	AndrogenReceptor	2	physical	AR	CDC25B
P10275	Q16543	1	AndrogenReceptor	2	physical	AR	CDC37
P10275	P21127	1	AndrogenReceptor	2	physical	AR	CDK11B
P10275	P50613	1	AndrogenReceptor	2	physical	AR	CDK7
P10275	P50750	1	AndrogenReceptor	2	physical	AR	CDK9
P10275	P49715	1	AndrogenReceptor	2	physical	AR	CEBPA
P10275	P10606	1	AndrogenReceptor	2	physical	AR	COX5B
