#tail	head	weight	pathway_name	pathway_ID	edge_type	tail_symbol	head_symbol
Q99490	P16471	1	Prolactin	56	physical	AGAP2	PRLR
Q99490	P42229	1	Prolactin	56	physical	AGAP2	STAT5A
Q9Y297	P16471	1	Prolactin	56	physical	BTRC	PRLR
P49069	P16471	1	Prolactin	56	physical	CAMLG	PRLR
P22681	P06241	1	Prolactin	56	physical	CBL	FYN
P22681	P62993	1	Prolactin	56	physical	CBL	GRB2
P22681	P27986	1	Prolactin	56	physical	CBL	PIK3R1
P22681	O00459	1	Prolactin	56	physical	CBL	PIK3R2
Q9HC77	P42229	1	Prolactin	56	physical	CENPJ	STAT5A
Q9NSE2	P16471	1	Prolactin	56	physical	CISH	PRLR
Q92793	P16471	1	Prolactin	56	Acetylation	CREBBP	PRLR
Q92793	P16471	1	Prolactin	56	physical	CREBBP	PRLR
P07339	P01236	1	Prolactin	56	Proteolytic	CTSD	PRL
P50570	P16471	1	Prolactin	56	physical	DNM2	PRLR
P50570	P12931	1	Prolactin	56	physical	DNM2	SRC
Q13541	P67775	1	Prolactin	56	physical	EIF4EBP1	PPP2CA
Q09472	P42229	1	Prolactin	56	physical	EP300	STAT5A
P04626	P62993	1	Prolactin	56	physical	ERBB2	GRB2
P04626	O60674	1	Prolactin	56	physical	ERBB2	JAK2
Q15303	O60674	1	Prolactin	56	physical	ERBB4	JAK2
Q15303	P16471	1	Prolactin	56	physical	ERBB4	PRLR
Q9UKB1	P16471	1	Prolactin	56	physical	FBXW11	PRLR
P21333	Q9NRF2	1	Prolactin	56	physical	FLNA	SH2B1
P06241	P22681	1	Prolactin	56	physical	FYN	CBL
P06241	P22681	1	Prolactin	56	Phosphorylation	FYN	CBL
P06241	P27986	1	Prolactin	56	physical	FYN	PIK3R1
P06241	O00459	1	Prolactin	56	physical	FYN	PIK3R2
P06241	P16471	1	Prolactin	56	physical	FYN	PRLR
Q9UQC2	P42336	1	Prolactin	56	physical	GAB2	PIK3CA
Q9UQC2	P42338	1	Prolactin	56	physical	GAB2	PIK3CB
Q9UQC2	P48736	1	Prolactin	56	physical	GAB2	PIK3CG
Q9UQC2	Q06124	1	Prolactin	56	physical	GAB2	PTPN11
P62993	P22681	1	Prolactin	56	physical	GRB2	CBL
P62993	P04626	1	Prolactin	56	physical	GRB2	ERBB2
P62993	Q06124	1	Prolactin	56	physical	GRB2	PTPN11
P62993	P29350	1	Prolactin	56	physical	GRB2	PTPN6
P62993	P29353	1	Prolactin	56	physical	GRB2	SHC1
P62993	O15524	1	Prolactin	56	physical	GRB2	SOCS1
P62993	Q07889	1	Prolactin	56	physical	GRB2	SOS1
P05204	P16471	1	Prolactin	56	physical	HMGN2	PRLR
P35568	P27986	1	Prolactin	56	physical	IRS1	PIK3R1
P35568	O00459	1	Prolactin	56	physical	IRS1	PIK3R2
P35568	P16471	1	Prolactin	56	physical	IRS1	PRLR
Q9Y4H2	P27986	1	Prolactin	56	physical	IRS2	PIK3R1
Q9Y4H2	O00459	1	Prolactin	56	physical	IRS2	PIK3R2
P05556	P16471	1	Prolactin	56	physical	ITGB1	PRLR
P05556	P78324	1	Prolactin	56	physical	ITGB1	SIRPA
