#tail	head	weight	pathway_name	pathway_ID	edge_type	tail_symbol	head_symbol
P31749	O15111	1	Leptin	22	physical	AKT1	CHUK
P31749	P49841	1	Leptin	22	Phosphorylation	AKT1	GSK3B
P31749	O14920	1	Leptin	22	physical	AKT1	IKBKB
P31749	Q9Y6K9	1	Leptin	22	physical	AKT1	IKBKG
P31749	P42345	1	Leptin	22	physical	AKT1	MTOR
P31749	P42224	1	Leptin	22	physical	AKT1	STAT1
P16070	P50281	1	Leptin	22	physical	CD44	MMP14
Q00535	P40763	1	Leptin	22	Phosphorylation	CDK5	STAT3
O15111	P31749	1	Leptin	22	physical	CHUK	AKT1
Q9NSE2	P48357	1	Leptin	22	physical	CISH	LEPR
P02741	P41159	1	Leptin	22	physical	CRP	LEP
P68400	P60484	1	Leptin	22	Phosphorylation	CSNK2A1	PTEN
Q09472	Q04206	1	Leptin	22	physical	EP300	RELA
P04626	P48357	1	Leptin	22	physical	ERBB2	LEPR
P03372	O60674	1	Leptin	22	physical	ESR1	JAK2
P03372	P40763	1	Leptin	22	physical	ESR1	STAT3
Q12778	P40763	1	Leptin	22	physical	FOXO1	STAT3
P06241	P35568	1	Leptin	22	physical	FYN	IRS1
P06241	P48357	1	Leptin	22	physical	FYN	LEPR
P06241	P40763	1	Leptin	22	Phosphorylation	FYN	STAT3
P62993	Q06124	1	Leptin	22	physical	GRB2	PTPN11
P62993	P29353	1	Leptin	22	physical	GRB2	SHC1
P49841	P60484	1	Leptin	22	Phosphorylation	GSK3B	PTEN
P08069	P48357	1	Leptin	22	physical	IGF1R	LEPR
O14920	P31749	1	Leptin	22	physical	IKBKB	AKT1
Q9Y6K9	P31749	1	Leptin	22	physical	IKBKG	AKT1
P35568	P06241	1	Leptin	22	physical	IRS1	FYN
P35568	O60674	1	Leptin	22	physical	IRS1	JAK2
P35568	P48357	1	Leptin	22	physical	IRS1	LEPR
P35568	Q14432	1	Leptin	22	physical	IRS1	PDE3A
P35568	P27986	1	Leptin	22	physical	IRS1	PIK3R1
P35568	O00459	1	Leptin	22	physical	IRS1	PIK3R2
P35568	Q9NRF2	1	Leptin	22	physical	IRS1	SH2B1
Q9Y4H2	O60674	1	Leptin	22	physical	IRS2	JAK2
Q9Y4H2	P48357	1	Leptin	22	physical	IRS2	LEPR
Q9Y4H2	P27986	1	Leptin	22	physical	IRS2	PIK3R1
Q9Y4H2	O00459	1	Leptin	22	physical	IRS2	PIK3R2
Q9Y4H2	Q9NRF2	1	Leptin	22	physical	IRS2	SH2B1
O14654	P48357	1	Leptin	22	physical	IRS4	LEPR
O14654	P27986	1	Leptin	22	physical	IRS4	PIK3R1
O14654	P19174	1	Leptin	22	physical	IRS4	PLCG1
