#tail	head	weight	pathway_name	pathway_ID	edge_type	tail_symbol	head_symbol
--	P16885	1	KitReceptor	6	Phosphorylation	--	PLCG2
P00519	Q99704	1	KitReceptor	6	physical	ABL1	DOK1
P61160	P42768	1	KitReceptor	6	physical	ACTR2	WAS
P61160	O43516	1	KitReceptor	6	physical	ACTR2	WIPF1
P31749	Q92934	1	KitReceptor	6	physical	AKT1	BAD
P31749	Q92934	1	KitReceptor	6	Phosphorylation	AKT1	BAD
P31749	O43524	1	KitReceptor	6	Phosphorylation	AKT1	FOXO3
P31749	Q13322	1	KitReceptor	6	physical	AKT1	GRB10
P31749	P49840	1	KitReceptor	6	Phosphorylation	AKT1	GSK3A
Q92934	P31749	1	KitReceptor	6	physical	BAD	AKT1
Q06187	P10721	1	KitReceptor	6	physical	BTK	KIT
Q06187	O00220	1	KitReceptor	6	physical	BTK	TNFRSF10A
P22681	Q13191	1	KitReceptor	6	physical	CBL	CBLB
P22681	P46109	1	KitReceptor	6	physical	CBL	CRKL
P22681	P62993	1	KitReceptor	6	physical	CBL	GRB2
P22681	P10721	1	KitReceptor	6	physical	CBL	KIT
P22681	P27986	1	KitReceptor	6	physical	CBL	PIK3R1
P22681	O00459	1	KitReceptor	6	physical	CBL	PIK3R2
P22681	P29353	1	KitReceptor	6	physical	CBL	SHC1
Q13191	P22681	1	KitReceptor	6	physical	CBLB	CBL
Q13191	P10721	1	KitReceptor	6	physical	CBLB	KIT
Q13191	Q96B97	1	KitReceptor	6	physical	CBLB	SH3KBP1
Q00610	P10721	1	KitReceptor	6	physical	CLTC	KIT
P46108	P10721	1	KitReceptor	6	physical	CRK	KIT
P46108	P27986	1	KitReceptor	6	physical	CRK	PIK3R1
P46109	P22681	1	KitReceptor	6	physical	CRKL	CBL
P46109	Q99704	1	KitReceptor	6	physical	CRKL	DOK1
P46109	P10721	1	KitReceptor	6	physical	CRKL	KIT
P46109	P27986	1	KitReceptor	6	physical	CRKL	PIK3R1
P46109	O00459	1	KitReceptor	6	physical	CRKL	PIK3R2
P32927	P10721	1	KitReceptor	6	physical	CSF2RB	KIT
Q99704	P00519	1	KitReceptor	6	physical	DOK1	ABL1
Q99704	P46109	1	KitReceptor	6	physical	DOK1	CRKL
Q99704	P07332	1	KitReceptor	6	physical	DOK1	FES
Q99704	P09769	1	KitReceptor	6	physical	DOK1	FGR
Q99704	P08631	1	KitReceptor	6	physical	DOK1	HCK
Q99704	Q92835	1	KitReceptor	6	physical	DOK1	INPP5D
Q99704	P10721	1	KitReceptor	6	physical	DOK1	KIT
Q99704	P07948	1	KitReceptor	6	physical	DOK1	LYN
Q99704	P27986	1	KitReceptor	6	physical	DOK1	PIK3R1
Q99704	O00459	1	KitReceptor	6	physical	DOK1	PIK3R2
Q99704	P19174	1	KitReceptor	6	physical	DOK1	PLCG1
Q99704	P20936	1	KitReceptor	6	physical	DOK1	RASA1
Q99704	P29353	1	KitReceptor	6	physical	DOK1	SHC1
Q99704	P12931	1	KitReceptor	6	physical	DOK1	SRC
Q99704	P42680	1	KitReceptor	6	physical	DOK1	TEC
Q99704	P07947	1	KitReceptor	6	physical	DOK1	YES1
Q09472	O75030	1	KitReceptor	6	physical	EP300	MITF
P19235	P10721	1	KitReceptor	6	physical	EPOR	KIT
P07332	Q99704	1	KitReceptor	6	physical	FES	DOK1
P07332	P10721	1	KitReceptor	6	physical	FES	KIT
P09769	Q99704	1	KitReceptor	6	physical	FGR	DOK1
P06241	P07332	1	KitReceptor	6	Phosphorylation	FYN	FES
P06241	P10721	1	KitReceptor	6	Phosphorylation	FYN	KIT
P06241	P10721	1	KitReceptor	6	physical	FYN	KIT
Q9UQC2	Q06124	1	KitReceptor	6	physical	GAB2	PTPN11
Q13588	P10721	1	KitReceptor	6	physical	GRAP	KIT
Q13322	P31749	1	KitReceptor	6	physical	GRB10	AKT1
Q13322	P10721	1	KitReceptor	6	physical	GRB10	KIT
P62993	P22681	1	KitReceptor	6	physical	GRB2	CBL
P62993	P10721	1	KitReceptor	6	physical	GRB2	KIT
P62993	Q06124	1	KitReceptor	6	physical	GRB2	PTPN11
P62993	P29353	1	KitReceptor	6	physical	GRB2	SHC1
P62993	O15524	1	KitReceptor	6	physical	GRB2	SOCS1
P62993	Q07889	1	KitReceptor	6	physical	GRB2	SOS1
Q14451	P10721	1	KitReceptor	6	physical	GRB7	KIT
P08631	Q99704	1	KitReceptor	6	physical	HCK	DOK1
P08631	P10721	1	KitReceptor	6	physical	HCK	KIT
P01112	P04049	1	KitReceptor	6	physical	HRAS	RAF1
P16871	P10721	1	KitReceptor	6	physical	IL7R	KIT
Q92835	Q99704	1	KitReceptor	6	physical	INPP5D	DOK1
Q92835	P10721	1	KitReceptor	6	physical	INPP5D	KIT
O60674	P10721	1	KitReceptor	6	physical	JAK2	KIT
P52333	P10721	1	KitReceptor	6	physical	JAK3	KIT
