#tail	head	weight	pathway_name	pathway_ID	edge_type	tail_symbol	head_symbol
O14672	O00548	1	Notch	3	protein_cleavage	ADAM10	DLL1
P78536	P46531	1	Notch	3	protein_cleavage	ADAM17	NOTCH1
P31749	P27986	1	Notch	3	physical	AKT1	PIK3R1
Q96BI3	P05067	1	Notch	3	protein_cleavage	APH1A	APP
Q96BI3	O00548	1	Notch	3	protein_cleavage	APH1A	DLL1
Q96BI3	Q9Y219	1	Notch	3	protein_cleavage	APH1A	JAG2
Q96BI3	P46531	1	Notch	3	protein_cleavage	APH1A	NOTCH1
Q96BI3	Q04721	1	Notch	3	protein_cleavage	APH1A	NOTCH2
Q96BI3	Q9UM47	1	Notch	3	protein_cleavage	APH1A	NOTCH3
Q96BI3	Q99466	1	Notch	3	protein_cleavage	APH1A	NOTCH4
Q8WW43	P05067	1	Notch	3	protein_cleavage	APH1B	APP
Q8WW43	O00548	1	Notch	3	protein_cleavage	APH1B	DLL1
Q8WW43	Q9Y219	1	Notch	3	protein_cleavage	APH1B	JAG2
Q8WW43	P46531	1	Notch	3	protein_cleavage	APH1B	NOTCH1
Q8WW43	Q04721	1	Notch	3	protein_cleavage	APH1B	NOTCH2
Q8WW43	Q9UM47	1	Notch	3	protein_cleavage	APH1B	NOTCH3
Q8WW43	Q99466	1	Notch	3	protein_cleavage	APH1B	NOTCH4
P05067	P49757	1	Notch	3	physical	APP	NUMB
P05067	Q9Y6R0	1	Notch	3	physical	APP	NUMBL
P50553	Q09472	1	Notch	3	physical	ASCL1	EP300
P78537	P46531	1	Notch	3	physical	BLOC1S1	NOTCH1
Q12860	P46531	1	Notch	3	physical	CNTN1	NOTCH1
Q12860	Q04721	1	Notch	3	physical	CNTN1	NOTCH2
Q13616	P46531	1	Notch	3	Ubiquitination	CUL1	NOTCH1
Q13616	Q99466	1	Notch	3	Ubiquitination	CUL1	NOTCH4
Q13616	P15923	1	Notch	3	Ubiquitination	CUL1	TCF3
O00548	P46531	1	Notch	3	physical	DLL1	NOTCH1
O00548	Q04721	1	Notch	3	physical	DLL1	NOTCH2
O00548	Q9UM47	1	Notch	3	physical	DLL1	NOTCH3
O00548	P49768	1	Notch	3	physical	DLL1	PSEN1
Q9NYJ7	P46531	1	Notch	3	physical	DLL3	NOTCH1
Q9NR61	Q99466	1	Notch	3	physical	DLL4	NOTCH4
Q86Y01	Q09472	1	Notch	3	physical	DTX1	EP300
Q86Y01	P46531	1	Notch	3	physical	DTX1	NOTCH1
Q09472	P50553	1	Notch	3	physical	EP300	ASCL1
Q09472	Q86Y01	1	Notch	3	physical	EP300	DTX1
Q09472	Q92831	1	Notch	3	physical	EP300	KAT2B
Q09472	P46531	1	Notch	3	physical	EP300	NOTCH1
Q09472	Q15797	1	Notch	3	physical	EP300	SMAD1
Q969H0	P46531	1	Notch	3	Ubiquitination	FBXW7	NOTCH1
Q969H0	P46531	1	Notch	3	physical	FBXW7	NOTCH1
Q969H0	Q99466	1	Notch	3	physical	FBXW7	NOTCH4
Q969H0	Q99466	1	Notch	3	Ubiquitination	FBXW7	NOTCH4
Q969H0	P63208	1	Notch	3	physical	FBXW7	SKP1
Q13642	Q06330	1	Notch	3	physical	FHL1	RBPJ
Q13642	Q06587	1	Notch	3	physical	FHL1	RING1
P09958	P46531	1	Notch	3	protein_cleavage	FURIN	NOTCH1
P49841	Q04721	1	Notch	3	Phosphorylation	GSK3B	NOTCH2
P49841	Q04721	1	Notch	3	physical	GSK3B	NOTCH2
Q13547	P43355	1	Notch	3	physical	HDAC1	MAGEA1
Q13547	Q9Y618	1	Notch	3	physical	HDAC1	NCOR2
Q13547	Q06330	1	Notch	3	physical	HDAC1	RBPJ
Q92769	P48544	1	Notch	3	physical	HDAC2	KCNJ5
Q14469	Q96HZ4	1	Notch	3	physical	HES1	HES6
Q14469	Q9UBP5	1	Notch	3	physical	HES1	HEY2
Q14469	O60674	1	Notch	3	physical	HES1	JAK2
Q14469	P40763	1	Notch	3	physical	HES1	STAT3
Q5TA89	O60674	1	Notch	3	physical	HES5	JAK2
Q5TA89	P40763	1	Notch	3	physical	HES5	STAT3
