#tail	head
SSU72	SNAPC4
FKBP5	ARAF
CDKN1A	IL1B
CDKN1A	NCOR1
HMGXB3	PFDN1
THAP2	OGT
RPS6KB1	RRAGB
RPS6KB1	RRAGA
RPS6KB1	IL1B
ATP1A2	MTHFD1
HIST1H4B	WBP2
HIST1H4B	NCOR1
HIST1H4B	REST
PISD	PIGG
PISD	PEMT
SH3GL1	VTA1
SH3GL1	SSB
PLA2G6	CYP4F11
PLA2G6	AKR1B10
PLA2G6	PLA2G16
RAG1	MDC1
DNM2	NCOR1
DNM2	NTRK1
ERBB2	DNAJB8
RRAGA	ATP6V1B2
OGT	NTRK1
BAG1	NCOR1
ARAF	ITGA2B
ARAF	APBB1IP
TERT	IL1B
AKR1B10	PDHB
HIST1H4F	IL1B
SNRNP35	SNRNP40
MTHFD1	PYGM
NTRK1	OAT
NTRK1	DDX39A
NTRK1	SF1
SF1	CX3CL1
NAGS	OAT
ACTN2	MFSD2A
FGB	GTF2F1
MDC1	CCNK
PEMT	PLA2G3
CPSF4	GTF2F1
GTF2F1	SMARCC1
