#tail	head
MSGN1	ATP11B
RAD51	HIST1H2BG
RAD51	HIST1H2BK
RAD51	WRN
SUCLG1	ATP1B3
PTPN2	PSMD13
MRM3	E4F1
MRM3	BTN2A2
MRM3	CREB1
WDR48	E4F1
WDR48	GABPB2
BIRC7	TEPSIN
BIRC7	QARS
BIRC7	RAF1
NCOR1	HIST1H2BG
DDX41	CD2BP2
DDX41	RBM25
SMARCE1	LEF1
SMARCE1	GATAD2B
SMARCE1	HIST1H4F
SMARCE1	HIST1H3F
SMARCE1	SMARCB1
RPL10L	UPF3B
RPL10L	RPS4Y2
RPL3	RPN1
CST4	CCRL2
CCRL2	GNAI1
AURKAIP1	OGDH
AURKAIP1	FANCI
GSN	RPN1
GSN	SORBS3
GSN	ZNF292
HIST1H3F	INO80B
HIST1H3F	PAK1
HIST1H3F	XPC
HIST1H3F	RBM25
E4F1	ZNF579
SLX1A	PSMB1
ERCC3	FANCI
ERCC3	EGLN3
ERCC3	SMARCB1
SORBS3	CACNG8
TNNI1	LRRC7
RPN1	PSMC4
GTF3C2	HIST1H2BG
GTF3C2	HIST1H3B
GTF3C2	EGLN3
PSMC4	PSMB1
PSMC4	BMPR1A
PSMC4	MAPK6
PSMC4	PSMB11
COASY	BAAT
HEYL	RBPJ
HIST1H2BG	HNRNPD
RBPJ	CREB1
SF3B3	RBM25
SF3B3	UPF3B
SF3B3	CHERP
SF3B3	CHEK2
NAT1	BAAT
NAT1	AASDHPPT
LRRC7	MYL9
AASDHPPT	SEC24C
AASDHPPT	MDFI
SLC25A10	ABCD1
SMARCB1	GATAD2B
SMARCB1	MXI1
SMARCB1	XPC
HIST1H3B	GATAD2B
HIST1H3B	ZKSCAN4
HIST1H3B	POLR2L
HIST1H3B	CREB1
OGDH	CREB1
CTIF	UPF3B
CACNG6	MYL3
HIST1H2BK	HIST1H4F
GPT	QARS
ATRX	HNRNPD
ITGA4	PSMB1
ZKSCAN4	ZNF444
ZKSCAN4	HIST1H2BE
ATP1B3	SEC24C
CHERP	PRPF38A
CD2BP2	HNRNPD
CD2BP2	PRPF38A
CD2BP2	EGLN3
CD2BP2	PRPF6
HNRNPD	UPF3B
HNRNPD	PRPF38A
HNRNPD	MAPK6
CDK11A	PAK1
PRPF6	UPF3B
PRPF6	RBM25
SCO1	PTGES3
HIST1H4F	PSMC3IP
HIST1H4F	LEF1
SLC6A9	BAAT
RPS4Y2	UPF3B
SDHD	SDHB
HIST1H2BE	UPF3B
CHEK2	RBM25
CHEK2	PSMC3IP
UPF3B	RPL30
QARS	SEC24C
CHD1L	KIR2DS2
CHD1L	EGLN3
CHD1L	GTF2H3
EGLN3	POLR2L
EGLN3	RAD23B
GOLGA8F	BAAT
PSMB1	RAD23B
PRPF38A	POLR2L
CREB1	NCAM1
CREB1	HOXB3
CREB1	PAK1
CREB1	XPC
CREB1	SDHB
MAPK6	GTF3A
MAPK6	RAD23B
MAPK6	POLR2L
SLC13A3	ABCD1
CIR1	CDCA3
XPC	GTF2H3
SLC27A3	BAAT
LEF1	ABCD1
POLR2L	GTF2H3
