#tail	head
PPP2R2B	DCD
JCHAIN	HSPA1B
JCHAIN	NFKB1
SERF2	GC
HIF1A	AVPR2
NHLRC3	TAZ
RPS14	TARDBP
PRKCG	CD3G
SLC8B1	CHRNB3
CYP2C19	AKR1B10
IGHV3-53	PIK3CB
APLP2	DAB2
IRAK1	NFKB1
CD3G	BTC
CD3G	PIK3CB
AVPR2	AP2S1
DAB2	INS
IGLV2-14	PIK3CB
SLC12A1	KCNJ1
SLC12A1	FXYD2
PPARGC1A	EGLN2
PPARGC1A	NFKB1
PPARGC1A	PRKAG2
N4BP3	IGF1
GPSM2	KNG1
KNG1	HSPA1B
KNG1	CFTR
KNG1	SCO1
KNG1	ELANE
KNG1	SLC30A1
BTC	FZD2
BTC	IGHV1-69
SPZ1	ARNTL
SPZ1	SP4
GNG8	GNAO1
FCF1	PYCARD
IGHV1-69	IGLV3-19
IGHV1-69	INPP5B
GLRA2	SLC4A8
TARDBP	RPS16
ELANE	IGF1
GCN1	ECH1
IGF1	HSPA1A
AP2S1	FZD2
HSPA1A	UBASH3B
FGF19	CD79B
NF2	TGM3
SLC39A6	ITIH1
CLCA4	CACNB1
