#tail	head
TP53TG3E	LRRK2
CD59	HTT
CD59	SLC6A8
CD59	SOS1
CD59	CYP2C9
ABI1	IGHV3-11
ABI1	IGKV1D-12
ABI1	DNM2
ABI1	YES1
ABI1	IGHV3-48
ABI1	CDK1
ABI1	PLCG1
ABI1	IL33
ABI1	FGR
ABI1	ESR1
ABI1	GNG12
ABI1	SOS1
ABI1	FGF6
ABI1	IGKV1D-39
ABI1	VEGFA
ABI1	CYFIP1
ABI1	MET
ABI1	NTRK3
SLC22A6	PTK2
SLC22A6	FPGS
SLC22A6	VEGFA
SLC22A6	SP1
SLC22A6	UGT1A9
SLC22A6	ESR1
SLC22A6	CYP2C9
SLC22A6	E2F1
RAB2A	HLA-B
RAB2A	E2F1
RAB2A	SP1
LRRK2	LMNB1
LRRK2	PTK2
LRRK2	CYFIP1
LRRK2	VIM
LRRK2	MMS19
LRRK2	POU5F1
PF4	XCR1
PF4	GNAI1
PF4	GNG12
PF4	PTK2
MMS19	HLA-B
MMS19	CUL3
MMS19	ESR1
IGF2	PTK2
IGF2	CYP2C9
IGF2	VEGFA
IGF2	HSD17B1
IGF2	SP1
IGF2	POU5F1
IGF2	UGT1A9
IGF2	GPC4
IGF2	ESR1
IGF2	VIM
IGF2	CDKN1A
IGF2	N4BP3
SLC6A8	SLC38A4
GFI1B	DZANK1
GFI1B	HSPG2
FGF6	IGHV3-48
FGF6	IGKV1D-39
FGF6	CYFIP1
FGF6	VEGFA
FGF6	ESR1
FGF6	IGHV3-11
FGF6	IGKV1D-12
FGF6	MET
FGF6	NTRK3
FGF6	PLCG1
FGF6	IL33
FGF6	YES1
FGF6	GNG12
FGF6	SOS1
HLA-B	HTT
HLA-B	UBE2E1
HLA-B	UBE2D3
HLA-B	LMNB1
FAM227B	SLC38A4
FAM227B	BAAT
GNAI1	PTK2
GNAI1	GNG12
GNAI1	HCN3
GNAI1	ESR1
GNAI1	XCR1
GNAI1	PLCG1
HTT	CYP2C9
HTT	PTK2
HTT	DNM2
HTT	SP1
HTT	GOLPH3L
HTT	CYFIP1
HTT	VEGFA
CDK1	CDKN1A
CDK1	E2F1
CDK1	KAT7
CDK1	LMNB1
CDK1	VIM
CDK1	SP1
CDK1	UBE2E1
CDK1	DNM2
SP1	EBAG9
SP1	CDKN1A
SP1	DDA1
SP1	UBE2D3
SP1	VEGFA
SP1	CYP2C9
SP1	E2F1
SP1	VAPB
SP1	PTK2
SP1	HSD17B1
SP1	GPC4
SP1	DNM2
SP1	WNT1
SP1	MTMR4
SP1	DZANK1
SP1	VIM
SP1	KAT7
SP1	LMNB1
SP1	INCA1
SP1	MGAT5B
SP1	POU5F1
SP1	DNM3
SP1	ESR1
SP1	NTRK3
YES1	PTK2
YES1	MET
YES1	FGR
YES1	GNG12
YES1	IGHV3-11
YES1	MTMR4
YES1	PLCG1
YES1	SOS1
YES1	IGKV1D-12
YES1	CYFIP1
YES1	IGKV1D-39
YES1	VEGFA
YES1	IGHV3-48
GNG12	MET
GNG12	NTRK3
GNG12	ESR1
GNG12	WNT1
GNG12	PLCG1
GNG12	IL33
GNG12	SOS1
GNG12	IGHV3-48
GNG12	IGKV1D-39
GNG12	VEGFA
GNG12	IGHV3-11
GNG12	IGKV1D-12
GNG12	XCR1
GNG12	CYFIP1
DDA1	COPS7B
DDA1	UBE2E1
EBAG9	ESR1
EBAG9	VAPB
BIK	CDKN1A
TTC19	SLC22A18AS
TTC19	CCDC33
UGT1A9	CYP2C9
UGT1A9	HSD17B1
UGT1A9	ALG14
ESR1	GPC4
ESR1	SOS1
ESR1	CDKN1A
ESR1	IGKV1D-39
ESR1	UBE2D3
ESR1	VEGFA
ESR1	CYP2C9
ESR1	CUL3
ESR1	E2F1
ESR1	IGHV3-11
ESR1	IGKV1D-12
ESR1	PLCG1
ESR1	N4BP3
ESR1	PTK2
ESR1	HSD17B1
ESR1	IGHV3-48
ESR1	VIM
ESR1	POU5F1
ESR1	EWSR1
ESR1	CYFIP1
ESR1	LMNB1
IGKV1D-12	VEGFA
IGKV1D-12	MET
IGKV1D-12	NTRK3
IGKV1D-12	PLCG1
IGKV1D-12	CYFIP1
IGKV1D-12	IGHV3-48
IGKV1D-12	FGR
IGKV1D-12	IGHV3-11
IGKV1D-12	IL33
IGKV1D-12	SOS1
DNM2	DNM3
DNM2	GDPGP1
DNM2	PTK2
DNM2	VEGFA
FBXO10	COPS7B
FBXO10	UBE2E1
FBXO10	UBE2D3
CCDC33	SPG21
SPG21	N4BP3
SPG21	INCA1
SOS1	IGHV3-48
SOS1	PTK2
SOS1	IL33
SOS1	MET
SOS1	IGHV3-11
SOS1	PLCG1
SOS1	CYFIP1
SOS1	NTRK3
SOS1	IGKV1D-39
SOS1	VEGFA
HCN3	E2F1
E2F1	UBE2D3
E2F1	CDKN1A
E2F1	VAPB
E2F1	SCD
VIM	CUL3
VIM	KAT7
VIM	HSD17B1
VIM	CDKN1A
VIM	LMNB1
VAPB	SCD
CDKN1A	UBE2E1
CDKN1A	CYP2C9
CDKN1A	PTK2
CDKN1A	HSD17B1
CHST6	LUM
CHST6	GOLPH3L
SLC38A4	BAAT
SLC38A4	GPT2
MET	IGKV1D-39
MET	IGHV3-11
MET	PLCG1
MET	CYFIP1
MET	PTK2
MET	FGR
MET	MTMR4
MET	IGHV3-48
MTMR4	NTRK3
MTMR4	GDPGP1
MTMR4	PTK2
MTMR4	FGR
NTRK3	IGKV1D-39
NTRK3	IGHV3-11
NTRK3	CYFIP1
NTRK3	PLCG1
NTRK3	IGHV3-48
CUL3	COPS7B
CUL3	EWSR1
CUL3	UBE2D3
CUL3	GPT2
CUL3	UBE2E1
WNT1	GPC4
WNT1	HSPG2
KRTAP19-5	INCA1
KRTAP19-5	MGAT5B
GPC4	LUM
GPC4	PTK2
GPC4	HSD17B1
GPC4	HSPG2
SCD	BAAT
PTK2	LUM
PTK2	HSD17B1
PTK2	FGR
PTK2	PLCG1
PTK2	HSPG2
PTK2	VEGFA
PTK2	CYP2C9
HSD17B1	CYP2C9
HSD17B1	N4BP3
HSD17B1	POU5F1
HSD17B1	VEGFA
FGR	PLCG1
FGR	IGHV3-48
FGR	IGKV1D-39
FGR	IGHV3-11
CYP2C9	VEGFA
IGKV1D-39	IGHV3-48
IGKV1D-39	IGHV3-11
IGKV1D-39	PLCG1
IGKV1D-39	IL33
IGKV1D-39	CYFIP1
IGKV1D-39	VEGFA
VEGFA	CYFIP1
VEGFA	PLCG1
VEGFA	IGHV3-48
VEGFA	IGHV3-11
PLCG1	IL33
PLCG1	IGHV3-11
PLCG1	IGHV3-48
EWSR1	COPS7B
EWSR1	POU5F1
KAT7	POU5F1
CYFIP1	IGHV3-11
CYFIP1	IL33
CYFIP1	IGHV3-48
ALG14	MGAT5B
GPT2	TAT
GPT2	FPGS
FPGS	TAT
FPGS	GDPGP1
DNM3	GDPGP1
IL33	IGHV3-11
IL33	IGHV3-48
INCA1	SLC22A18AS
UBE2E1	POU5F1
LUM	HSPG2
