#tail	head
TCF7	GABPA
ACTG2	ASPH
PYGB	PGM2L1
PYGB	ALPI
PYGB	RYR2
PYGB	AKR1B1
SLC25A20	SLC25A12
TRAF2	VWA2
TRAF2	PSMB4
RPN1	SF1
RPN1	RDH13
NOG	AKR1B1
NOG	NDRG1
HOXB9	AKR1C3
NXF1	PRPH
TRIM32	NDRG2
ANAPC10	ANAPC16
FBXO10	COPS5
SLC5A9	AKR1B1
PRL	CGB5
PRL	GPS2
PRL	KCNJ3
PRL	SF1
EEF2	COPS5
PSMB4	ANAPC16
HIST2H2AA3	LEF1
IRF2	PGM5
AIMP2	SF1
CAPZB	MYO18A
CYP2C9	JUND
RAB3B	RAB3A
RAB3A	GPT
RAB3A	GDI1
ALPI	SF1
DNAJB12	HSPA2
PRPH	PPP1R13B
PCDH15	ACTR2
CGB5	SF1
CGB5	JUND
CGB5	KCNJ3
LEF1	SP5
SF1	ALDOC
SF1	KLC3
KDELR3	KIF2A
MRPS18B	KARS
HTR3A	STXBP1
HTT	ALDOC
NDRG2	POU2F1
TNFRSF11B	SLC22A6
KARS	NT5C1B
JUND	SLC22A6
FXYD3	KCNG2
CDC14A	REL
RYR2	MYBPC1
NR3C1	SLC22A6
SLC22A6	ACHE
ACTR2	STXBP1
