#tail	head
EIF4A2	CD2BP2
TFAP4	TP53
TFAP4	DLG2
TFAP4	CELF3
PTPN11	CD84
PTPN11	HNF4A
HSD17B2	HSD17B6
HSD17B2	CYP2A6
HSD17B2	CYP1A2
PIK3R1	STAT3
PIK3R1	PTPRK
HNRNPR	CALM1
HOXA9	HNF4A
ADIPOQ	RELA
ADIPOQ	MED13
E2F5	CYP2A6
GPRC5C	ZBTB14
GPRC5C	APPBP2
TGIF1	AR
SLC10A6	VSX1
SLC10A6	TP53
RARB	HIST1H2BD
RARB	CCNDBP1
UBE2O	KCTD6
UBE2O	UBA52
UBE2O	FBXL5
TPST2	TPTE
ZBTB14	KCTD4
ZBTB14	VCP
ZBTB14	RNF219
PARP1	KDR
PARP1	RBM14
SH2D1A	KIT
RELA	CDX2
LNPK	VCP
HIST1H3I	BAZ1B
HIST1H3I	MSH2
COMMD2	KBTBD13
COLEC10	STIP1
MED13	IRF8
KDM1A	MTHFD1
TNNI1	DLG2
AR	PTH1R
AR	PRKDC
AR	KCTD4
AR	ZNF423
KAT6A	TP53
TP53	NFE2L1
TP53	STAT3
TP53	DLG2
TP53	KDR
TP53	CYP1A2
TP53	SOCS1
TP53	NFKB1
PTPRK	KIT
MCOLN3	CALM1
ATXN1	VCP
RING1	HIST1H2BD
RING1	RBM14
UBA52	RPL13A
TRIP12	UBE2D4
TDP2	NFKB1
VCP	SH3KBP1
VSX1	SSH2
VSX1	DLG2
TPTE	KDR
MBD3L1	RBBP4
KIT	PTPN3
TNK1	PTPN3
SSH2	HNF4A
SSH2	GDPGP1
RBBP4	PHF19
CALM1	KDR
CALM1	TNNT3
SLC17A3	MTHFD1
CDC14C	KDR
PTPN3	GDPGP1
TNNT3	DLG2
