#tail	head
EIF4A2	EIF3L
PSMA2	IQCB1
RPS9	RPL19
SLC1A1	ATP1A1
MYO1E	ESR2
RPL19	HIST1H3C
R3HDM1	F2RL1
R3HDM1	TRIM25
R3HDM1	YY1
CSK	JUN
OTX1	KRTAP10-8
HSF2	SERPINH1
RPS6KA1	RPTOR
PSMD6	SERPINH1
ATP1B1	CYC1
ATP1B1	SLC38A4
ATP1B1	ATP1A1
POT1	RHOU
POT1	HIST2H2BE
ESR2	SLC30A6
ESR2	LEPR
ESR2	CHPT1
ESR2	MYO19
PLEKHA7	VCP
DOCK7	VCP
CERS1	SPTLC1
PLA2G1B	PTEN
TNIP2	SPTLC1
TNFRSF14	SERPINA4
CCNB1	PIN1
CCNB1	CDC25A
CCNB1	SLC31A2
SLC5A9	TREH
ACTN1	PALLD
ACTN1	EZH2
ACTN1	SHKBP1
ACTN1	SEH1L
HIST1H3C	HIST2H2BE
HIST1H3C	CENPT
HIST1H3C	NPM1
HIST1H3C	HMGA2
YY1	RAD21
YY1	CREB1
ATXN1	VCP
PIH1D1	PPP1CA
PIH1D1	TKT
IRF3	PIN1
HIST4H4	TRIM24
HIST4H4	PSME4
HIST4H4	POLR2A
HIST4H4	NPM1
TMED1	JUN
EIF3L	JUN
JAK2	TRIM24
JAK2	IFNA5
JAK2	PTEN
JAK2	JUN
AGO2	RPS27
AGO2	POLR2A
SPTLC1	SHMT1
PIN1	NPM1
PIN1	KRTAP10-8
TREH	CP
VCP	RAD23B
ZNF324B	DDX52
SHKBP1	AP2A1
SHKBP1	NPM1
SHKBP1	CORO1C
SHKBP1	ATP1A1
SHKBP1	SNRNP70
JUN	CYC1
JUN	HIST2H2BE
KRTAP11-1	PLA2G10
DOCK5	INTU
PTEN	HSPA2
PTEN	PHKA2
HIST2H2BE	CREB1
HIST2H2AA4	EZH2
MYO19	TPM4
P2RX6	ATP2A1
DFFB	COPS5
NPM1	TRIM24
NPM1	TOP1
NPM1	RPS27
SNRNP70	GNA13
TFAM	COPS5
PPP1CA	PPP1R15B
POLR2A	COPS5
OSM	CREB1
SEH1L	COPS5
VDAC1	RPN2
