#tail	head
RTP5	KRT34
CTTN	UBC
CTTN	ARPC3
CTTN	SYT11
CTTN	SMN1
CTTN	PSMC5
CTTN	PAN2
CTTN	CKB
CABP5	IKZF3
CCAR2	CNOT1
CD40	EIF4E
EP300	APP
EP300	GATA1
EP300	ING5
EP300	TADA3
EP300	CYP4A11
NME1-NME2	IDH1
CD200	GSTT1
EIF4E	CNOT1
EIF4E	NUP58
EIF4E	CNOT9
EIF4E	APP
EIF4E	ASS1
EIF4E	PLPBP
SMN1	NUP58
SMN1	NUP98
OCRL	AP2S1
CT55	APP
IKZF3	LEF1
AP2B1	LEF1
AP2B1	CD8B
AP2B1	AP2A2
AP2B1	AP2S1
PAN2	CNOT1
PAN2	HBA1
ALDH6A1	LEF1
ALDH6A1	NNT
NDC1	APP
UBC	AP2S1
UBC	WWP1
PTPN20	MTHFD1
CNOT1	RIBC1
RTP2	OR1K1
GSTT1	LHPP
PHKG1	ENTPD5
PHKG1	APP
PHKG1	PHKA1
PHKG1	PHOSPHO1
CD8B	AP2S1
CD8B	AP2A2
PHGDH	SORBS2
LHPP	MTHFD1
ARPC3	AP2S1
ARPC3	SLC2A1
RMND5A	APP
SORBS2	EIF3J
SORBS2	CKB
HSPA12A	NUP98
WWP1	SETD4
MTHFD1	PHOSPHO1
MTHFD1	PHKA1
PHOSPHO1	PHKA1
LEF1	APP
LEF1	NUP98
ILDR1	APP
APP	TBCC
KRT34	ZNF148
AAR2	ADI1
PSMD11	PSMC5
