#tail	head
PTPN5	TOMM70
MTHFR	TYMS
CAMK2A	STIM1
C1QBP	GRK5
POGZ	NOG
POGZ	BOLL
RBMS1	SBDS
RBMS1	PPIF
PPP2CB	PPARA
KIAA1549	NOG
CLDN4	VSX1
CLDN4	LEF1
CLDN4	GOLM1
CYSRT1	C4orf45
CYSRT1	TCEA2
CYSRT1	DVL3
SLC30A3	LEF1
SLC30A3	APOB
MAPK3	ADRA2C
STIM1	ZFAND6
STIM1	KIDINS220
STIM1	CACNA2D2
SERPINA4	NGB
GPRASP2	PIH1D2
APOB	GPC1
NOG	KSR2
NOG	CXXC5
NOG	GRK5
NOG	WNT5B
NOG	ETHE1
NOG	LUC7L
GTF2A1	ARC
MRPS27	MRPL32
GPC1	BCAR1
CACNA2D2	LEF1
CACNA2D2	GNB1
UBE3A	ZMAT5
SLC15A1	NGB
AXIN2	TCEA2
KANK1	PPARA
TACR1	GRK5
RAB3A	NCALD
SYNE2	LEF1
ACTL6A	LEF1
ACTL6A	CUL3
KRT40	FAM27E3
GRK5	ADRA2C
EIF5A	TYMS
PPARA	BCAR1
ADRA2C	PPP1R9B
RRS1	PRPF40A
LEF1	SMARCA4
EIF3J	SEC13
CARD10	C4orf45
SEC13	ARPC2
CLTC	SCARB2
OLIG3	KRTAP19-2
