#tail	head
NUAK1	LATS1
BCL6	CREBBP
BCL6	NCOR2
BCL6	CDK19
BCL6	NOG
BCL6	PFDN5
LATS1	WWTR1
PEA15	HNRNPL
PEA15	DNAJB1
PEA15	TP73
PEA15	NOG
SCD	NR1H3
SCD	TP73
SCD	ACSL1
SEPHS1	FMNL2
SEPHS1	HNRNPL
SEPHS1	SNW1
SEPHS1	DNAJB1
SEPHS1	ACSL1
POGZ	VDR
POGZ	PFDN5
POGZ	SNW1
SH3PXD2A	RTKN
SH3PXD2A	HNRNPL
SH3PXD2A	NOG
NOG	DDX39B
NOG	CDK19
NOG	CTNNB1
NOG	LPGAT1
NOG	WWTR1
NOG	NCOR2
NOG	FADS1
NOG	HNRNPL
NOG	ZNF589
NOG	DNAJB1
NOG	TCF4
NOG	ELOC
NOG	ACSL1
POTEF	LPGAT1
DNAJB1	SEPT2
DNAJB1	SNW1
DNAJB1	CREBBP
MED13	CREBBP
MED13	VDR
MED13	CDK19
MED13	TCF4
MED13	CTNNB1
TXNL4A	POLR2E
TXNL4A	U2AF1L4
TXNL4A	DDX39B
TXNL4A	THOC5
TXNL4A	PLRG1
TXNL4A	POLR2G
RB1	SNW1
RB1	VDR
CDK19	CREBBP
CDK19	TCF4
CDK19	HNRNPL
U2AF1L4	HNRNPL
U2AF1L4	DDX39B
U2AF1L4	THOC5
U2AF1L4	POLR2E
U2AF1L4	PLRG1
PFDN5	TP73
ZNF589	HNRNPL
TP73	CREBBP
TP73	VDR
NCOR2	SNW1
NCOR2	RBPJ
NCOR2	NR1H3
RBPJ	SNW1
CTNNB1	WWTR1
CTNNB1	CREBBP
CTNNB1	DDX39B
CTNNB1	SNW1
CTNNB1	TCF4
CTNNB1	POLR2E
SNW1	VDR
SNW1	PLRG1
SNW1	HNRNPL
SNW1	DDX39B
SNW1	POLR2G
SNW1	POLR2E
SNW1	THOC5
ACSL1	FADS1
ACSL1	LPGAT1
ACSL1	CREBBP
VDR	CREBBP
VDR	NR1H3
VDR	KIF1C
VDR	EFNA4
DDX39B	PLRG1
DDX39B	THOC5
PLRG1	TCF4
PLRG1	POLR2E
PLRG1	HNRNPL
PLRG1	POLR2G
KIF1C	POLR2G
KIF1C	THOC5
POLR2G	ELOC
POLR2G	HNRNPL
POLR2G	CREBBP
POLR2G	POLR2E
HNRNPL	CREBBP
HNRNPL	POLR2E
EFNA4	TCF4
ASB4	TCF4
ASB4	ELOC
FADS1	NR1H3
FADS1	CREBBP
TCF4	CREBBP
