#tail	head
ACPP	OTC
HOXB7	VSX1
HOXB7	IRF8
HOXB7	MAZ
HOXB7	FOXO4
CALM1	NOG
CALM1	CACNG6
CALM1	CPLX1
CALM1	IGLV6-57
CALM1	ESR2
CALM1	GNG10
ROS1	PTPRD
ROS1	GATA1
KRT3	KRT17
MAFF	STAT5A
MAFF	ESR2
MAFF	NOG
FOXO4	ESR2
FOXO4	PAX6
FOXO4	H2AFV
MYO18A	GNG10
MYO18A	IGKV3-11
MYO18A	SH2D2A
CACNG6	CPLX1
CACNG6	SLC24A2
IGHV3-13	PIP4K2B
IGHV3-13	NTF3
IGHV3-13	SH2D2A
IGHV3-13	PDGFA
IGHV3-13	GNG10
YIPF3	SGPP1
YIPF3	NDUFC2
C2CD2L	TMEM9
C2CD2L	MAZ
C2CD2L	AR
OTC	TPTE
OTC	SGPP1
OTC	MAT2B
OTC	GATA1
FUT1	ABO
KRT17	MAZ
KRT17	ESR2
TFEC	STAT5A
TFEC	GATA1
IGKV1-5	PIP4K2B
IGKV1-5	NTF3
IGKV1-5	IGHV2-70
NOG	STAT5A
NOG	EEF1AKMT2
NOG	FGF8
NOG	SMAD1
NOG	PTPRD
NOG	LGALS1
NOG	ESR2
NOG	GRK6
NOG	FAM210B
NOG	LINGO2
NOG	VSX1
NOG	GNG10
NOG	HIST2H2BE
NOG	USP18
NTF3	IGKV3-11
SGPP1	VSX1
STAT5A	GRK7
STAT5A	ESR2
STAT5A	GRK6
STAT5A	FGF8
STAT5A	PTPRD
STAT5A	IRF8
NDUFB8	NDUFC2
USP18	STIP1
CLDN10	TMEM9
SH2D2A	IGHV2-70
SH2D2A	GNG10
SPARC	MAZ
SPARC	PDGFA
GRK6	GATA1
GRK6	TBXA2R
XPOT	KRT75
PIGL	PIGH
PIGL	MAZ
MAT2B	EEF1AKMT2
MAZ	HIST2H2BE
MAZ	PAX6
MAZ	LGALS1
MAZ	VSX1
IGLV6-57	GNG10
IGLV6-57	PDGFA
IGLV6-57	PIP4K2B
IGLV6-57	ESR2
GNG10	PIP4K2B
GNG10	FGF8
GNG10	ESR2
FAM210B	TMEM140
S1PR2	LGALS1
SLC24A2	TRPV5
TUBG1	H2AFV
HIST2H2BE	AR
HIST2H2BE	GATA1
HIST2H2BE	PAX6
TMEM9	TMEM140
VSX1	PSD3
VSX1	MYO1C
VSX1	PAX6
VSX1	SMAD1
VSX1	ESR2
VSX1	PIP4K2B
H2AFV	PAX6
H2AFV	MYO1C
ESR2	KRT75
ESR2	MYO1C
ESR2	IGHV2-70
ESR2	FGF8
IGKV3-11	PIP4K2B
IGKV3-11	FGF8
IGKV3-11	PDGFA
VWA7	AR
SMAD1	PAX6
SMAD1	AR
SMAD1	GATA1
CPLX1	TRPV5
FGF8	AR
PDGFA	IGHV2-70
PDGFA	GATA1
AR	PAX6
PIP4K2B	IGHV2-70
MX1	PSD3
