#tail	head
POMK	SLC47A1
VCL	TPI1
VCL	HTR3A
VCL	COL1A2
VCL	ACTN1
VCL	ITGB8
ASB8	CAND1
ASB8	UBE2V2
HTR3A	ARL6IP5
HTR3A	SGCB
HTR3A	KCNIP1
UBA6	AMPD3
KCNK13	MAZ
KCNK13	FXYD1
CEPT1	ARFGAP2
SLC47A1	IL1B
SLC47A1	KNG1
SLC47A1	CXCL8
SLC47A1	IGF1R
IGF1R	IGF1
IGF1R	RPS3
IGF1R	SLC39A11
IGF1R	MAZ
ITGB8	COL1A2
VPS28	ALG2
UCHL5	TPI1
UCHL5	MAZ
UCHL5	TMEM205
FZD8	IL1B
FZD8	CALCA
FZD8	CXCL8
ABCG8	IGF1
ABCG8	CD320
ABCG8	ABCG2
CYP3A5	ATP5ME
TPI1	CUL1
TPI1	SLC30A6
TPI1	PHOSPHO1
KCNIP1	AMPD3
SLC39A11	IGF1
SLC39A11	SERPINA3
MRPS11	MAP1LC3A
MRPS11	RPL9P8
IGKV1D-12	C1QC
IGKV1D-12	BLK
IGKV1D-12	IGHV4-39
PARS2	HSPB9
ALG2	KNG1
ALG2	SLC30A6
GNG7	FPR1
GNG7	IGLC6
GNG7	GNRHR
GNG7	GRM1
GRM1	CXCL8
GRM1	INHBC
GRM1	BMP6
GRM1	MAZ
INHBC	TGFBR2
KCNK1	HTR3D
RPS3	CRK
RPS3	RPL9P8
RPS3	MAP1LC3A
RPS3	CXCL8
RPS3	NFKB1
ASF1A	CUL1
ATP5ME	BLK
ADK	AMPD3
C1QC	IGHV4-39
C1QC	IGLC6
C1QC	IL1B
C1QC	SLC30A10
C1QC	SLC30A6
IL1B	IGF1
IL1B	NFKB1
GNA15	GNRHR
GNA15	FPR1
FCGR3A	CRK
FCGR3A	IGHV4-39
GNRHR	CXCL8
BMP6	TGFBR2
DTX1	CRK
CASP1	PSEN2
IGLC6	BLK
BLK	IGHV4-39
HMBOX1	MAZ
CUL1	CAND1
CUL1	AMPD3
KNG1	CXCL8
AMPD3	PAN2
AMPD3	CXCL8
ABCG2	EGR1
ABCG2	IGF1
B4GALT3	TMEM205
NFKB1	SERPINA3
NFKB1	MAP1LC3A
TWF2	PAN2
FPR1	CXCL8
EGR1	MAZ
EGR1	CXCL8
EGR1	CAND1
COL1A2	PAN2
AIM2	MAZ
SLC30A10	CXCL8
