#tail	head
KRT13	KRT76
NEMF	MMGT1
NEMF	LTN1
NEMF	NOP56
STX8	MCL1
STX12	TBC1D17
STX12	MMGT1
LSM3	PTBP1
PRDM12	MAZ
PRDM12	EBF2
PRDM12	POU3F1
NIFK	CAND1
NIFK	RBM34
NIFK	NOC4L
NIFK	NOP56
PSMC2	PSMB8
PSMC2	PSMD7
PSMC2	RPN2
PSMC2	ACVR2B
HDAC11	NOP56
HDAC11	MAZ
HDAC11	HIST1H3G
EBF2	PLEKHG2
EBF2	RXRB
EBF2	TRMT112
TBC1D17	MAP1LC3A
TBC1D17	CALCOCO1
POC1A	MDM1
POC1A	MAP7D1
PTBP1	RRP1B
PTBP1	SRSF1
PYGB	EXOSC3
PYGB	CAND1
CHD5	RBBP7
AGPAT1	TCTN2
IMP3	RPS7
IMP3	RRP1B
IMP3	NOC4L
MYL2	MYH6
NR1D1	EP300
NR1D1	RXRB
NR1D1	MAZ
VDAC2	ACADM
MCL1	BAG3
MCL1	FBXW7
FHL1	EP300
FHL1	PLEKHG2
CEP55	E4F1
SCAF11	NME7
SCAF11	SRSF1
TSR1	RPS7
TSR1	NOP56
TSR1	YAP1
TSR1	CAND1
RPS7	NOP56
RPS7	EXOSC3
RPS7	CEP76
RPS7	RPN2
RPS7	RRP1B
ACVR2B	PTGER3
ACVR2B	SNX1
CEP76	TCERG1
NOC4L	EXOSC3
HIST1H3G	TMOD3
HIST1H3G	RBM34
HIST1H3G	RFC5
HIST1H3G	EP300
PAM16	ARL6IP1
PAM16	TMOD3
PAM16	LDHD
ADH1A	LDHD
ACADM	SCD
RRP1B	NOP56
RRP1B	EXOSC3
RRP1B	YAP1
SPTY2D1	MYH6
RPN2	PDHA1
SNX1	ARL6IP1
SNX1	RTN3
ELAVL1	ARL6IP1
ELAVL1	TCTN2
ELAVL1	MMGT1
ELAVL1	UBE2L3
ELAVL1	PHGDH
ELAVL1	YAP1
HMGCS2	MCAT
HMGCS2	SCD
PSMB8	UBE3A
PSMB8	E4F1
PSMB8	FBXW7
RFC5	NOP56
MCAT	PDHA1
HAUS1	TCTN2
HAUS1	IFT20
TCERG1	PHGDH
KRT31	NAXD
KRT31	CCNC
E4F1	RBBP7
E4F1	PQLC1
E4F1	SRSF1
FBXW7	ARL6IP1
FBXW7	CAND1
MAP7D1	UBE3A
MAP7D1	LDHD
SCD	PDHA1
SCD	TCTN2
RBM34	ZC3H18
PSMD7	UBE3A
MMGT1	TCTN2
ABL1	EP300
RXRB	MYH6
MAP1LC3A	PHGDH
SRSF1	PHGDH
SRSF1	CAND1
SRSF1	ZC3H18
YAP1	CAND1
RBBP7	CAND1
TRMT112	CAND1
TRMT112	MAZ
LDHD	NME7
LDHD	CAND1
CSTB	BAG3
EP300	CCNC
PDHA1	MRS2
PDHA1	PHGDH
MYH6	MAZ
