#tail	head
ALB	PTMA
ENTPD4	E4F1
FCHSD2	VDR
CAPN2	PSG8
PARP1	NADSYN1
NCOA1	PKM
ZIC2	BAZ2A
ZIC2	PRMT1
GPC3	MIF
SOX15	HSFY2
FBXW2	FBXO6
CSNK1D	TUBB4B
GLI2	HIST2H4A
TUBA4A	PFDN4
TUBA4A	ARPC5
SLC2A1	SMN2
TRIM56	RNF2
ZNF146	TERF2IP
SLC25A1	HNF4A
B9D2	FAM208A
RPL3	RPS14
ATP6V0D1	CBX1
ATP6V0D1	ATP6V0A2
C15orf48	CHCHD3
PHF2	NOG
NXF1	SPATA5L1
NXF1	ZNF76
NXF1	VPS11
NXF1	BCAP31
CDH1	PCMT1
CDH1	NUP214
CDH1	EIF3E
FGF19	EGFR
RPS19	PYM1
MAZ	SDC1
MAZ	SMARCC1
MAZ	ZNF277
MAZ	MYLPF
MAZ	KDM2A
MAZ	EGR2
RPS25	UBC
PSME1	AAR2
CXCL10	LEP
SMN1	DDIT4L
SMN1	FCRL4
PIGY	UGT2B11
SCARB2	INPPL1
GNGT1	OR8H2
GNGT1	UBXN4
BRD1	TFIP11
ACADL	NOG
IFNA13	SEMG2
IFNA13	A2M
IFNA13	GAPDH
ILF2	CCDC8
SERPINB1	RAD21
KCNA7	ATP1A3
PIK3CA	CD40
PIK3CA	PXK
PIK3CA	RAP1A
RBM33	TRIM14
FOXO4	CACNA2D2
FOXO4	ACIN1
FOXO4	MAN1A1
TLN2	COL12A1
MLF2	FBXW11
PPP1CC	TOX4
PPP1CC	RPL28
GDNF	RET
CHSY1	B4GALT1
GNG13	ANXA1
SLC34A3	GAPDH
FMO1	PECR
HSF2	PLEC
GRM6	FGF9
GRPEL2	TIMM17A
AFF3	TCF4
IL18	EP300
UBL4A	TUBA1A
ATP1B3	CRX
ISG15	RFC4
CPNE3	ERBB2
CD80	IGLV3-21
IFNW1	AGTR1
CFTR	YWHAG
CFTR	AP2S1
SKP2	PPP1CA
ADH1C	CXCL8
HSFY1	BPIFA1
MCAT	CPT2
ZBTB40	MYC
NTF4	CRX
KIRREL1	PIK3R1
ALDH1A3	ADH4
SIX2	ERCC6L
FKBP1A	MYC
SLC16A7	NOG
CNOT1	TGFB1
BMI1	TGM1
BMI1	PRDX4
KPRP	CDK2
PDE3A	ASNS
CFP	CXCL8
MAP3K14	SEM1
MAP3K14	TUBB4A
NUBP2	GALNT14
NUBP2	KRTAP10-7
LDHD	PMPCB
TVP23C	FUCA2
FGF14	FXYD2
CEP70	HMMR
CEP70	ZSCAN21
CADM1	SIPA1L3
CDC16	PSMD2
PTGIS	KDM5B
MDM2	HEXIM1
TMEM17	ATP11C
TMEM17	GGA1
PIK3CB	SRC
CREBBP	ZNF639
CREBBP	RXRA
CREBBP	E2F5
RPS2	FAU
FGF9	INPPL1
FGF9	ERBB2
TUBA1C	ASXL2
TUBA1C	VBP1
TUBA1C	ERRFI1
TUBA1C	CCT4
PRDX6	ITGA4
HIST1H2AC	H2BFS
MYC	DIABLO
MYC	UTP14A
MYC	HIST1H4A
MYC	HNF4A
LMAN2	HNF4A
HIST1H3H	BRD4
CACNG6	PPP3CB
CACNG6	ATP2A3
IGLC7	DVL1
SMARCB1	CCDC33
KCNG1	HTR3C
IL1R2	CEBPA
PAPSS2	IARS2
TFCP2	IL1RAPL1
TGFB1	ATF2
TGFB1	EHMT2
TGFB1	STRAP
TGFB1	WFIKKN1
TGFB1	PPP1R15A
KRAS	EP300
TRIM32	UBC
PKM	ADH1A
PKM	CAV3
PKM	ATP6V1G1
PKM	CXCL12
LSM1	SP1
VMA21	TCTN3
PIK3R5	WASF3
PTGES3	HNF4A
DARS2	ARHGEF26
CRK	RIN3
HADH	NOX3
CSNK2B	DVL1
PIK3R1	KDR
PIK3R1	SOCS7
ABCD1	CPT1B
RPTOR	PSMD2
DVL1	SIPA1
HS3ST4	PAPSS1
RTP5	LZTS2
PTPN7	ABL2
MAP3K5	RAC2
SIPA1L3	RCN1
YKT6	MIF
PHACTR1	EIF4B
TOX2	CENPP
GSTO1	RET
CYP4A11	MMP2
PLEC	PRKCD
PSMD2	NSFL1C
PSMD2	SMURF2
PSMD2	MLF1
MAPK11	HIST2H4B
OR4C45	REEP6
MYOZ2	PPP3CB
H2BFS	RARB
H2BFS	EP300
DLD	GATAD2A
HIST1H2BB	EP300
CPT1B	SOAT2
LGALS3	SLC26A2
PIK3R6	FGF8
AKIRIN1	ATF3
CACNB3	P2RX2
CACNB3	SLC24A1
ACP1	AXL
TTC23	CCDC102B
TTC23	POU6F2
AXL	PTPRO
HIST3H2A	HIST1H3I
NFE2L2	PTK2
PAPSS1	HS3ST1
COL8A1	NOG
AP2M1	PRPF18
PSMA1	CEBPG
EPHB6	SP1
LCE4A	KRTAP3-1
SLC27A3	ATP1A2
B3GALT1	UGT2B10
RAD21	HIST1H2BF
INPPL1	DPYSL5
CXCL8	CYP1B1
CXCL8	SPG7
ASAH1	PRTN3
DYNLL2	CENPP
CAV1	NCF1
UBE2E1	WWP2
SLCO2B1	PTK2
TRIM25	SGTA
TRIM25	GNAS
TFAP4	SP1
WRN	CEBPA
KIAA0355	CEBPA
NT5C	ASS1
NT5C	PDE6H
FZD4	FGF8
DCXR	IFNG
MYOG	LMO3
CHMP3	SP1
DNAJC15	GRPEL1
FBXO6	HEXA
PACSIN3	PIK3R2
UBC	FGF20
UBC	POLI
MTA2	EP300
VDR	ZNF532
VDR	GPBP1
ALDH3B2	ADH7
ZBTB33	HNF4A
SEMG1	LEP
ADAMTS4	KIAA0232
HNF4A	TMF1
HNF4A	KLHL18
SND1	CDK2
USF2	EP300
SLC6A11	SLC5A1
HES6	EP300
SORT1	PEAK1
G3BP1	SERPINH1
ZC3HAV1	IQGAP1
GRIK2	YY1
GNAI2	CALM2
GNAI2	PGLYRP2
TOX	NOG
HRAS	CAMK2D
KITLG	NOG
ACTR3	NOG
ABL2	MTMR3
ZBTB4	HNF1A
KCNH2	CAV3
KCTD17	RIN3
BRD4	CEBPA
BRD4	BCL2
POMGNT1	B3GNT6
NUDT3	CEBPA
CEBPA	LCOR
QRICH1	USP54
PSMA4	EWSR1
RTP4	OR6Q1
CDK18	LZTS2
DYDC1	PIK3R2
LCE3D	RPTN
PARVB	CDC5L
CACNG3	TNNT3
SLC5A1	SLC7A1
PICK1	SEMA3B
ECI1	ACOX1
RPA3	MRFAP1
SIGLECL1	RNF213
NFU1	SMN2
EYA1	RAD50
TJP3	NOG
EGFR	CAV3
CMTM4	HNF1A
ACVRL1	SMURF2
PTK2	TH
RAD50	HIST1H3J
SFXN2	NOG
ACP5	SLCO1A2
CAV3	CACFD1
IFNG	ABCC5
HIST2H3C	SMC2
PDE6B	GUCY1B2
HSD11B1	HNF1A
SOX11	HNF1A
EXOC8	TRIM14
