#tail	head
PPP2R2D	PPP2R5D
HSPA8	EIF4A3
HSPA8	AICDA
HSPA8	PRPF40A
HSPA8	CCT5
HSPA8	FLOT1
HSPA8	AP2B1
HSPA8	EGFR
HSPA8	FBXO25
HSPA8	BAG2
HSPA8	CFTR
HTR3D	ATP1A2
HTR3D	PRKCZ
EIF4A3	SNX9
DNAJB6	CFTR
DNAJB6	XPO1
GRIN2B	SLC5A1
GRIN2B	CAPNS2
TTC27	EGFR
TTC27	CFTR
MDFI	TCF3
ATF3	SNX16
ATF3	EGFR
HIST1H4C	HDAC7
HIST1H4C	ATP1A2
TNNI3	MCOLN1
ATP2A3	TRPM2
ATP2A3	UPP1
ATP2A3	CFTR
SEPHS1	CCT5
SEPHS1	XPO1
SEPHS1	CPNE1
THBS1	H3F3B
ZNF138	LMNA
ZNF138	KRTAP12-3
PPP2R5D	INS
VTI1B	LMNA
ATP1A2	UPP1
H3F3B	INS
XPO1	EGFR
XPO1	LIMCH1
XPO1	FBXO25
XPO1	CFTR
XPO1	CCT5
XPO1	AP2B1
GPANK1	AP2B1
MYO19	AP2B1
MYO19	FLOT1
SNX9	CFTR
SNX9	CPNE1
SNX9	INPP5A
NPR2	TCF3
SLC5A1	MCOLN1
SLC5A1	ABCC2
EIF4E2	FBXO25
BAG2	PRKCZ
BAG2	EGFR
MCOLN1	CPNE1
MCOLN1	PRKCZ
MCOLN1	C1S
CAPN15	CAPNS2
FBXO25	CCT5
EGFR	PRKCZ
EGFR	LMNA
EGFR	AP2B1
LCE3A	KRTAP12-3
INS	CFTR
INS	UPP1
INS	SRSF11
INS	ABCC2
INS	LMNA
CCT5	FLOT1
SNX16	TCF3
CPNE1	TCF3
UPP1	AICDA
TCF3	PRKCZ
