#tail	head
MDFI	TEAD4
SEPT7	MYH9
SEPT7	FCHO2
SEPT7	GPC3
SEPT7	LIMA1
SEPT7	ALPI
MYH14	HIST1H3D
MYH14	MYH9
TLR9	FGF1
TLR9	PLCG1
TLR9	IGLC6
FCHO2	MYH9
FCHO2	LIMA1
GIT2	ILK
GIT2	PSMD9
PSMC2	APC
PSMC2	PSMD9
PSMC2	COPS5
C2	NAALADL2
C2	IGLC6
PKP2	ILK
PKP2	MAST3
PKP2	APC
RAG2	TAL1
RAG2	HIST1H3D
FYB1	CD3E
FYB1	PLCG1
MAST3	RTRAF
MAST3	LIMA1
LIMA1	HIST1H3D
LIMA1	MYH9
LIMA1	TAL1
CD3E	PLCG1
CD3E	PPP3CB
ILK	LAMA4
ILK	COPS5
ILK	APC
STAT3	GPC3
STAT3	PLCG1
STAT3	COPS5
TEAD4	PFKM
LAMA4	HSPG2
LAMA4	APC
PFKM	ALPI
PLCG1	FGF1
PLCG1	IGLC6
PSMD9	APC
GRM2	NAALADL2
GRM2	WNT10A
GRM2	FGF1
COPS5	APC
COPS5	MYH9
COPS5	RTRAF
GPC3	FGF1
IGLC6	FGF1
FGF1	HSPG2
TAL1	PPP3CB
WNT10A	HSPG2
