#tail	head
KAT6B	ATN1
LTBP4	GFI1B
LTBP4	FBLN1
LTBP4	VWCE
TMEM208	SCARA5
TMEM208	INS
BRDT	CDK9
BRDT	CCNT1
E2F4	SMC1A
E2F4	USP37
E2F4	MYC
E2F4	RASAL2
E2F4	SCARA5
E2F4	CCNT1
SMC1A	MYC
SMC1A	USP37
SMC1A	CHD4
TBL1Y	CHD4
TBL1Y	INS
TBL1Y	CEBPB
CCNT1	CDK9
CCNT1	MYC
HSPA8	CHD4
HSPA8	CDK9
HSPA8	NANOG
COL26A1	COLGALT1
COL26A1	VWCE
RASAL2	NADK
RASAL2	CEBPB
PSMB1	PSMB8
PSMB1	MYC
PSMB1	INS
PSMB1	PSMB3
PSMB1	SCARA5
CDK9	MYC
CDK9	INS
NADSYN1	DCK
NADSYN1	NADK
NADSYN1	G6PC2
NADSYN1	ALDH3B1
NADSYN1	ACSL1
CHD4	MYC
ALDH3B1	MYC
ALDH3B1	ACSL1
PSMB3	MYC
PSMB3	PSMB9
PSMB3	TNFRSF11A
CEBPB	MYC
CEBPB	NADK
CEBPB	INS
G6PC2	NADK
G6PC2	DCK
ABCD2	INS
ABCD2	ACSL1
ACSL1	INS
ATN1	FBLN1
PSMB8	TNFRSF11A
FBLN1	INS
MYC	USP37
MYC	INS
NANOG	COLGALT1
NANOG	INS
