#tail	head
CTNNA3	PCDHA6
B9D2	FGFR1OP
B9D2	DSN1
RANGAP1	SUMO2
RANGAP1	GNAI3
GNAI3	EGFR
GNAI3	YWHAH
IGKV3-20	BDNF
IGKV3-20	SH2D2A
IGKV3-20	GNG11
IGKV3-20	IGHV3-30
IGKV3-20	FGFR1OP
IGKV3-20	IGHV2-70
IRS1	IGHV3-30
IRS1	INS
IRS1	FGFR1OP
IRS1	IGHV2-70
IRS1	YWHAH
IRS1	EGFR
RPL6	CTTN
RPL6	SEL1L
INS	BDNF
INS	YWHAH
INS	GNG11
SUMO2	PGR
SEL1L	EGFR
SEL1L	NOG
HADHB	FAR2
HADHB	SPR
PCDHA6	EGFR
DCHS1	NOG
SH2D2A	GNG11
SH2D2A	FGFR1OP
SH2D2A	IGHV3-30
IGHV3-30	EGFR
IGHV3-30	BDNF
IGHV2-70	GNG11
IGHV2-70	FGFR1OP
IGHV2-70	BDNF
IGHV2-70	EGFR
PNN	NOG
CTTN	NOG
FAR2	ACOT1
FAR2	SPR
FAR2	NOG
EGFR	GNG11
EGFR	FGFR1OP
EGFR	SPR
EGFR	NOG
GNG11	FGFR1OP
GNG11	NOG
GNG11	BDNF
FGFR1OP	BDNF
NOG	PGR
PGR	BDNF
