#tail	head
NCBP1	ESRP1
SNAPC3	CDK7
NDUFV3	UBA1
ACACB	SLC13A3
UBR5	FOXB1
ALPL	GADD45G
AASS	AGXT
SLC35F6	ATF2
BTC	GRB2
MAZ	SCD
MAZ	TAF9
MAZ	SLC39A7
MAZ	GUCY2D
MAZ	SPTSSB
SEC11C	TMEM30A
CRX	PSMB10
NAIF1	INTS3
DBN1	CFTR
GNGT1	RASGRP1
GNGT1	FZD3
GNGT1	FXYD4
SLC25A5	ATP6V1G3
FOXB1	STAG2
FCGR1A	IGLV1-40
NME7	PDE2A
PYCR1	SLC27A5
CENPE	CAPZA2
IGLV3-19	PDGFA
IGLV3-19	IGLC6
IGLV3-19	DGKD
FGF3	RAC1
FGF3	EPO
TOX4	STK17B
GADD45A	ATF2
LEMD1	SPI1
MGLL	EGR1
RASGRP1	PDPN
RASGRP1	IGHV3-48
SLC12A1	SLC27A5
NDUFS5	NDUFA12
NME4	ADH1A
NME4	ENO1
PSMB10	PPP2R1B
PSMB10	WTIP
HOOK3	SYCE3
TAC3	CXCR1
ADRB2	ITSN1
TAPBP	NXF1
CA3	ATP6V0D1
ATP2A2	NCKAP1
TSC22D4	TSC22D3
RFC4	EP300
RFC4	RFC5
RASSF1	CNKSR1
IGHV3-23	FGF17
LIG1	RFC5
HTR2C	CYP3A4
EPHA2	SMAD4
EPHA2	PTPRT
HTT	HMGA1
TSC22D3	NRBP1
MGST2	MGST1
ADH6	HAGH
ADH6	POR
ADH6	CYP27B1
OCRL	IGLV1-40
PIK3CB	IL12RB1
ATP8A2	SLC20A2
INTS3	GTF2B
PPARGC1A	ATF2
CTBP2	SGTA
SLC20A1	MTHFD1L
EGR1	BRAF
EGR1	NES
SDC4	UBB
FLNA	RAC1
DGKQ	KDM5B
LPAR1	ARHGEF12
CAMK2D	TRPM1
RFC5	POLR2G
CFTR	CAPNS1
DAGLB	GRB2
GRIA1	SEC22A
CYP1A1	IGF2
CYFIP1	IGLC1
SLC27A5	GCAT
PCBP1	RPL18A
RASA1	RAB5A
RAC1	LRRFIP1
LUC7L2	ATF7IP
HAX1	HPCAL1
CXCR1	IFNA17
HES1	ATF2
SLC8B1	TRPM1
PDE10A	AKR1B1
TERF2	EP300
CD3G	STAM2
SEC61B	SGTA
EP300	HIST3H3
XDH	AGXT
PSPH	SLC39A1
MSR1	SEC22A
EN1	HOXD10
CHRM4	GRB2
RAB6A	ATF2
TYRP1	SEC22A
ITPA	NUDT2
PIK3R5	IGLC1
FYN	PRKCH
TP63	GRB2
TMEM30A	ATP8B1
DDIT4L	GRB2
GFAP	GRB2
