HTR4	Q13639
HTR6	P50406
HTR7	P34969
BBX	Q8WY36
EXOC3-AS1	Q8N2X6
WDR83OS	Q9Y284
DHDH	Q9UQ10
BCR	P11274
VOPP1	Q96AW1
COL13A1	Q5TAT6
TARSL2	A2RTX5
GTF2IRD2B	Q6EKJ0
DHFR	P00374
STRN	O43815
BBC3	Q9BXH1
MYBPC3	Q14896
MYBPC1	Q00872
MYBPC2	Q14324
BGN	P21810
TMEFF1	Q8IYR6
TMEFF2	Q9UIK5
STX6	O43752
STX5	Q13190
STX4	Q12846
STX3	Q13277
BID	P55957
STX2	P32856
SPDEF	O95238
MBD3	O95983
MBD4	O95243
MBD5	Q9P267
MBD6	Q96DN6
BIK	Q13323
MBD1	Q9UIS9
MBD2	Q9UBB5
FBXO27	Q8NI29
FBXO28	Q9NVF7
FBXO25	Q8TCJ0
FBXO24	O75426
FBXO21	O94952
FBXO22	Q8NEZ5
FADS3	Q9Y5Q0
FADS2	O95864
FNTA	P49354
MYBPHL	A2RUH7
FADS6	Q8N9I5
FNTB	P49356
FADS1	O60427
FBXO16	Q8IX29
STX8	Q9UNK0
FBXO17	Q96EF6
STX7	O15400
FBXO15	Q8NCQ5
FBXO10	Q9UK96
FBXO11	Q86XK2
MINPP1	Q9UNW1
BLK	P51451
BLM	P54132
IREB2	P48200
FBXO48	Q5FWF7
FBXO45	P0C2W1
FBXO46	Q6PJ61
FBXO43	Q4G163
FBXO44	Q9H4M3
FBXO41	Q8TF61
FBXO42	Q6P3S6
FBXO40	Q9UH90
MBIP	Q9NS73
BMF	Q96LC9
KIR2DL5A	Q8N109
HTR1E	P28566
HTR1F	P30939
FBXO38	Q6PIJ6
HTR1D	P28221
STYX	Q8WUJ0
FBXO36	Q8NEA4
HTR1A	P08908
HTR1B	P28222
FBXO34	Q9NWN3
FBXO32	Q969P5
BMX	P51813
FBXO33	Q7Z6M2
FBXO30	Q8TB52
FBXO31	Q5XUX0
FAM90A1	Q86YD7
HTR2B	P41595
HTR2C	P28335
PPWD1	Q96BP3
HTR2A	P28223
BOC	Q9BWV1
SPDL1	Q96EA4
BOK	Q9UMX3
MBL2	P11226
SLC36A1	Q7Z2H8
SLC36A3	Q495N2
SLC36A2	Q495M3
HTR3E	A5X5Y0
VPS13C	Q709C8
DHPS	P49366
VPS13D	Q5THJ4
HTR3C	Q8WXA8
VPS13A	Q96RL7
HTR3D	Q70Z44
VPS13B	Q7Z7G8
HTR3A	P46098
HTR3B	O95264
RABGGTB	P53611
RABGGTA	Q92696
C1D	Q13901
BPI	P17213
C1S	P09871
C1R	P00736
IL2RG	P31785
TSPOAP1	O95153
SLC36A4	Q6YBV0
GPKOW	Q92917
HTR5A	P47898
IL2RA	P01589
IL2RB	P14784
CDRT15	Q96T59
LGALSL	Q3ZCW2
PEX26	Q7Z412
C4B	P0C0L5
LGALS4	P56470
LGALS3	P17931
C4A	P0C0L4
LGALS2	P05162
LGALS1	P09382
IL36A	Q9UHA7
MCIDAS	D6RGH6
IL36B	Q9NZH7
BSG	P35613
LGALS9	O00182
LGALS8	O00214
BSN	Q9UPA5
LGALS7	P47929
BSX	Q3C1V8
BTC	P35070
BTD	P43251
CFDP1	Q9UEE9
CRISPLD2	Q9H0B8
SUB1	P53999
BTK	Q06187
DHX8	Q14562
DHX9	Q08211
NKAIN2	Q5VXU1
NKAIN1	Q4KMZ8
MC2R	Q01718
NKAIN4	Q8IVV8
NKAIN3	Q8N8D7
RACGAP1	Q9H0H5
BBS2	Q9BXC9
SLC10A4	Q96EP9
BBS1	Q8NFJ9
XBP1	P17861
SLC10A6	Q3KNW5
SLC10A7	Q0GE19
SLC10A1	Q14973
SLC10A2	Q12908
SPDYC	Q5MJ68
SLC10A3	P09131
SUCO	Q9UBS9
IL36G	Q9NZH8
PEX5L	Q8IYB4
MC1R	Q01726
SPDYA	Q5MJ70
OR3A4P	P47883
C8B	P07358
C8A	P07357
MC4R	P32245
C8G	P07360
SUFU	Q9UMX1
BBS9	Q3SYG4
BBS7	Q8IWZ6
BBS5	Q8N3I7
BBS4	Q96RK4
ZHX2	Q9Y6X8
PCYT1B	Q9Y5K3
PCYT1A	P49585
ZHX3	Q9H4I2
CACYBP	Q9HB71
ZHX1	Q9UKY1
RNF144A	P50876
RNF144B	Q7Z419
MC3R	P41968
TAX1BP1	Q86VP1
TAX1BP3	O14907
PEX16	Q9Y5Y5
PEX19	P40855
PEX10	O60683
PEX12	O00623
PEX13	Q92968
PEX14	O75381
MC5R	P33032
INPPL1	O15357
IGF1R	P08069
PPIP5K1	Q6PFW1
PPIP5K2	O43314
ENPP2	Q13822
ENPP1	P22413
ENPP4	Q9Y6X5
ENPP3	O14638
ENPP6	Q6UWR7
ENPP5	XP_005249317
ENPP7	Q6UWV6
DHDDS	Q86SQ9
HTRA3	P83110
HTRA4	P83105
HTRA1	Q92743
HTRA2	O43464
DAPP1	Q9UN19
CHCHD10	Q8WYQ3
IGF2R	P11717
BSPRY	Q5W0U4
CA1	P00915
CA3	P07451
ZIC2	O95409
CA2	P00918
ZIC3	O60481
CA4	P22748
ZIC1	Q15915
CA7	P43166
CA6	P23280
CA9	Q16790
CA8	P35219
SUN2	Q9UH99
SUN1	O94901
ATP6AP1	Q15904
ATP6AP2	O75787
CAD	P27708
HUNK	P57058
SUN5	Q8TC36
CAT	P04040
SHANK3	Q9BYB0
SHANK2	Q9UPX8
SHANK1	Q9Y566
DAPL1	A0PJW8
CBL	P22681
SV2C	Q496J9
SV2B	Q7L1I2
CBS	P35520
SV2A	Q7L0J3
TBX22	Q9Y458
TBX21	Q9UL17
TBX20	Q9UMR3
CLVS2	Q5SYC1
CLVS1	Q8IUQ0
CCK	P06307
ZIC4	Q8N9L1
ZIC5	Q96T25
SUOX	P51687
TBX19	O60806
TBX18	O95935
CD2	P06729
TBX15	Q96SF7
CD4	P01730
CCS	O14618
CD6	P30203
CD5	P06127
TBX10	O75333
CD7	P09564
CD9	P21926
CDA	P32320
CLEC10A	Q8IUN9
SCN11A	Q9UI33
CLEC11A	Q9Y240
HUS1	O60921
CEL	P19835
NUP93	Q8N1F7
BCAN	Q96GW7
SCN10A	Q9Y5Y9
BCAM	P50895
HECW2	Q9P2P5
HECW1	Q76N89
SRFBP1	Q8NEF9
NUP98	P52948
CFB	P00751
CFD	P00746
CFH	P08603
CFI	P05156
CFP	P27918
RRP7A	Q9Y3A4
NUP85	Q9BW27
NUP88	Q99567
CGA	P01215
MCAM	P43121
CGN	Q9P2M7
C3orf14	Q9HBI5
MCAT	Q8IVS2
TMEM225B	P0DP42
MOCS2	O96033
MOCS3	O95396
STON1	Q9Y6Q2
CHM	P24386
STON2	Q8WXE9
MCEE	Q96PE7
RRP12	Q5JTH9
CIC	Q96RK0
RRP15	Q9Y3B9
ZIK1	Q3SY52
EDARADD	Q8WWZ3
CT45A10	P0DMU9
CIT	O14578
PCOTH	Q58A44
PLIN4	Q96Q06
PLIN3	O60664
PLIN2	Q99541
PLIN1	O60240
RCCD1	A6NED2
MOCS1	Q9NZB8
PLIN5	Q00G26
DCAF12L2	Q5VW00
DCAF12L1	Q5VU92
TRBV12-3	P01733
RASSF10	A6NK89
MINOS1	Q5TGZ0
RRP36	Q96EU6
CKB	P12277
PAIP2	Q9BPZ3
ZIM2	Q9NZV7
PAIP1	Q9H074
ZIM3	Q96PE6
HIPK4	Q8NE63
BCHE	P06276
CKM	P06732
MCF2	P10911
MOCOS	Q96EN8
G0S2	P27469
RRP1B	Q14684
HIPK1	Q86Z02
HIPK3	Q9H422
HIPK2	Q9H2X6
FOSB	P53539
