P08243	P27708
P15104	P30038
P04424	P30566
O94925|Q9UI32	P00367|P49448
Q04609	Q8IXN7|Q9ULI2
Q04609	Q8IXN7
P00966	P30520|Q8N142
O94925|Q9UI32	P31327
O94808|Q06210	P15104
O94925|Q9UI32	P15104
Q04609	gene
P00505|P17174	P30520|Q8N142
Q96RQ9	gene
P00367|P49448	Q9NQR4
Q8N9F0	gene
O94925|Q9UI32	P30038
P80404	Q05329|Q99259
Q8IXN7	Q8IXN7|Q9ULI2
Q99489	Q9NQR4
P31327	gene
O94808|Q06210	O94925|Q9UI32
P00367|P49448	Q05329|Q99259
Q05329|Q99259	gene
Q8IXN7	gene
gene	gene
P15104	Q05329|Q99259
P00367|P49448	gene
P15104	gene
P45381	gene
Q8N9F0	Q96RQ9
P00367|P49448	P15104
P27708	Q06203
Q8IXN7|Q9ULI2	gene
P00505|P17174	P00966
P00505|P17174	gene
P51649	P80404
O94925|Q9UI32	Q05329|Q99259
Q7L266	gene
P45381	Q7L266
O94808|Q06210	gene
O94925|Q9UI32	gene
