P61224|P62834	Q96FS4
A6NM45|C9JDP6|O00501|O14493|O15551|O75508|O95471|O95484|O95500|O95832|P56746|P56747|P56748|P56750|P56856|P56880|P57739|P78369|Q16625|Q8N6F1|Q8N7P3|Q96AP7|Q96B33|Q9Y5I7	A6NM45|C9JDP6|O00501|O14493|O15551|O75508|O95471|O95484|O95500|O95832|P56746|P56747|P56748|P56750|P56856|P56880|P57739|P78369|Q16625|Q8N6F1|Q8N7P3|Q96AP7|Q96B33|Q9Y5I7
O75116|Q13464	gene
P04216	Q13017|Q9NRY4
P49023	gene
P48061	P61073
P05129|P05771|P17252	Q05397
P05107|P11215	Q9BX67
O95398|Q8WZA2	Q8WWW0
P05556|P13612	P19320
P05556|P13612	P57087
Q14289	gene
P04216	P05107|P11215
P04839|P13498|P14598|P19878|Q15080	P08253|P14780
P55196	P61224|P62834
P04899|P08754|P63096	P61073
P33151	gene
P05107|P20701	Q14289
P56945	P61586
P26232|P35221|Q9UI47	P60709|P63261
P05556|P13612	Q8WWW0
P15498|P52735|Q9UKW4	P61586
P05362	P16885|P19174
O00329|O00459|P27986|P42336|P42338|Q92569	P04899|P08754|P63096
P05107|P20701	P15498|P52735|Q9UKW4
P05107|P20701	Q8WWW0
P26232|P35221|Q9UI47	P35222
O75116|Q13464	P61586
P05129|P05771|P17252	P49023
P15311|P26038	P60709|P63261
P16284	gene
P35222	gene
P05129|P05771|P17252	P16885|P19174
P04839|P13498|P14598|P19878|Q15080	P19320
O14950|P10916|P19105|P24844|Q01449|Q02045|Q96A32|Q9BUA6	O75116|Q13464
O00329|O00459|P27986|P42336|P42338|Q92569	P19320
Q05397	gene
P15498|P52735|Q9UKW4	Q14289
O95398|Q8WZA2	P04899|P08754|P63096
O14950|P10916|P19105|P24844|Q01449|Q02045|Q96A32|Q9BUA6	P60709|P63261
P15153	P15498|P52735|Q9UKW4
P05107|P11215	Q8WWW0
P14209|Q8TCZ2	P14209|Q8TCZ2
P15311|P26038	P19320
P15498|P52735|Q9UKW4	P63000
P04839|P13498|P14598|P19878|Q15080	P63000
P16284	P35222
P15498|P52735|Q9UKW4	P42681|Q08881
P15498|P52735|Q9UKW4	P60953
O15264|P53778|Q15759|Q16539	P04839|P13498|P14598|P19878|Q15080
P05362	P15311|P26038
O00329|O00459|P27986|P42336|P42338|Q92569	P63000
P05107|P20701	Q9Y624
O00329|O00459|P27986|P42336|P42338|Q92569	P42681|Q08881
O60716	P33151
P05107|P20701	P05362
