P78352	Q05586|Q13224
A0A096LP55|O14949|O14957|P00156|P07919|P08574|P14927|P22695|P31930|P47985|Q9UDW1	P42858
P42858	P45983|P45984|P53779
O14727	P55211
Q6ZNE5|Q8NEB9|Q96F24|Q99570	Q8TDY2
P42858	P78508
A8MW95|Q14457	Q9C0C7
Q2TAZ0|Q96BY7	Q5MNZ9|Q9Y4P8
A8MW95|Q14457	P42858
P41594	P50148
O75460|Q12933	Q99683
O14521|P21912|P31040|Q99643	P42858
O60282|P33176|Q07866|Q12840|Q6P597|Q9H0B6|Q9NSK0	P45983|P45984|P53779
O14733	Q02779
P42858	Q14643
P42574	gene
Q00975	Q16623
P50148	Q00722|Q01970|Q15147|Q9NQ66
O00291|Q14790|Q9NWB7	P42574
P45983|P45984|P53779	gene
O75143|Q8TDY2|Q9BSB4	P42345
