P49419	Q8NE62
P0DN79|P35520	gene
P20132|Q96GA7	Q9GZT4
P48728	gene
P34896|P34897	Q14749
P07738|P15259|P18669|Q8N0Y7	gene
P0DN79|P35520	P20132|Q96GA7
P0DN79|P35520	P21549
O43175	P07738|P15259|P18669|Q8N0Y7
P21549	P78330
P34896|P34897	gene
P50440	Q9P0Z9
P20132|Q96GA7	P34896|P34897
P13196|P22557	P14920
P0DN79|P35520	P78330
P34896|P34897	Q9P0Z9
P13196|P22557	P34896|P34897
P13196|P22557	Q14749
Q9GZT4	gene
Q93088	gene
P78330	gene
P14920	Q9UL12
P20132|Q96GA7	gene
P21549|Q9BYV1	Q9UL12
P21549|Q9BYV1	P50440
Q9P0Z9	gene
P20132|Q96GA7	P21549
gene	gene
P13196|P22557	gene
O75600	P13196|P22557
P09622	P48728
Q9UL12	gene
P0DN79|P35520	Q9GZT4
P14920	P34896|P34897
Q93088	Q9UI17
P13196|P22557	P21549|Q9BYV1
P34896|P34897	P48728
P21549	P34896|P34897
P21549|Q9BYV1	P34896|P34897
O43175	Q9Y617
P21549|Q9BYV1	Q14749
Q8IVS8	Q9UBQ7
P34896|P34897	Q9UL12
P34896|P34897	P50440
P14920	gene
P0DN79|P35520	P32929
P34896|P34897	Q9GZT4
O75600	P23378
P21549	gene
P0DN79|P35520	P34896|P34897
Q14749	gene
P21549	P21549
P21549|Q9BYV1	Q9P0Z9
P13196|P22557	Q9UL12
