P01308	P06213
P05019	P08069
O43741|P54619|P54646|Q13131|Q9UGI9|Q9UGJ0|Q9Y478	P49815|Q92574
O00329|O00459|P27986|P42336|P42338|Q92569	O14654|P35568|Q9Y4H2
Q07812	gene
P49815|Q92574	Q15382
P04637	gene
O43524|Q12778	Q96EB6
Q16566	Q96RR4
P42345|Q8N122|Q96B36	Q13541
P23443|Q9UBS0	P42345|Q8N122|Q96B36
O43524|Q12778	P31749|P31751|Q9Y243
O43741|P54619|P54646|Q13131|Q9UGI9|Q9UGJ0|Q9Y478	P58004|P58005|Q9Y6P5
O43741|P54619|P54646|Q13131|Q9UGI9|Q9UGJ0|Q9Y478	P42345|Q8N122|Q96B36
P31749|P31751|Q9Y243	P49815|Q92574
O14654|P35568|Q9Y4H2	gene
O00329|O00459|P27986|P42336|P42338|Q92569	P01111|P01112|P01116
O75143|O75385|Q8TDY2|Q9BSB4	P42345|Q8N122|Q96B36
Q86V24|Q96A54	Q9UKG1
A6NMX2|O60573|P06730	Q13541
P19838|Q04206	gene
O43306|O60266|O60503|O95622|P40145|P51828|Q08462|Q08828|Q8NFM4	P31749|P31751|Q9Y243
P01111|P01112|P01116	gene
Q15848	Q86V24|Q96A54
O43741|P54619|P54646|Q13131|Q9UGI9|Q9UGJ0|Q9Y478	Q96RR4
P37231	Q96EB6
O14654|P35568|Q9Y4H2	Q9UEF7
P31749|P31751|Q9Y243	P42345|Q8N122|Q96B36
O43524|Q12778	O43741|P54619|P54646|Q13131|Q9UGI9|Q9UGJ0|Q9Y478
Q9UBK2	gene
O43524|Q12778	P17612|P22612|P22694
O43741|P54619|P54646|Q13131|Q9UGI9|Q9UGJ0|Q9Y478	Q15831
P42345|Q8N122|Q96B36	Q15382
