P05019	P08069
P05129|P05771|P17252	P30153|P30154|P62714|P67775
P27361|P28482	P30153|P30154|P62714|P67775
P30153|P30154|P62714|P67775	P36507|Q02750
P05129|P05771|P17252	Q00722|Q01970|Q15147|Q9NQ66
O96001	Q13237|Q13976
P29992|P50148	Q00722|Q01970|Q15147|Q9NQ66
P29992|P50148	Q13255
O96001	P30153|P30154|P62714|P67775
O95467|P04899|P08754|P09471|P19086|P63092|P63096|Q03113|Q14344	P0C869|P47712|Q3MJ16|Q68DD2|Q86XP0|Q9UP65
Q00722|Q01970|Q15147|Q9NQ66	Q14571|Q14573|Q14643
P01111|P01112|P01116	P04049|P10398|P15056
P07948	P42261|P42262|P42263
O00555	P05129|P05771|P17252
P33402|Q02108|Q02153	Q13237|Q13976
O95467|P04899|P08754|P09471|P19086|P63092|P63096|Q03113|Q14344	gene
P04049|P10398|P15056	P36507|Q02750
P06850	P34998
P29475	P33402|Q02108|Q02153
P05129|P05771|P17252	P07948
P27361|P28482	P36507|Q02750
O95467|P04899|P08754|P09471|P19086|P63092|P63096|Q03113|Q14344	Q13255
O00555	P21817
P01111|P01112|P01116	P29475
P05129|P05771|P17252	P0C869|P47712|Q3MJ16|Q68DD2|Q86XP0|Q9UP65
P0C869|P47712|Q3MJ16|Q68DD2|Q86XP0|Q9UP65	P27361|P28482
