O76024	P18850|Q99941
P05198	P19525|Q9BQI3|Q9NZJ5|Q9P2K8
P19525|Q9BQI3|Q9NZJ5|Q9P2K8	Q16236
O75460	P17861
P10415	Q07812|Q16611
O14733	P45983|P45984|P53779
Q9BZV1|Q9UNZ2	gene
P07237|P13667|P30040|Q15084|Q8NBS9	Q86YB8|Q96HE7
P05198	gene
Q8NHG7	Q9BZV1|Q9UNZ2
P55072	Q8NHG7
gene	gene
Q12933	Q99683
Q12933	gene
P10415	P35638
P07384|P17655	Q6UXS9
O14733	gene
Q9HCU5	Q9NR31|Q9Y6B6
O94979|P55735|Q9NQW1	Q9NR31|Q9Y6B6
O75807	P18848
O94855|O95486|O95487|P53992|Q15436|Q15437	O94979|P55735|Q9NQW1
Q8TAT6	Q92890
P07384|P17655	Q07812|Q16611
