P05019	P08069
P08476|P09529|P55103|P58166	P27037|P36896|Q13705|Q8NER5
O00238|P36894|Q04771|Q13873	O15198|Q15797|Q99717
P09038	P11362|P21802|P22455|P22607
O15198|Q15797|Q99717	Q13485
O00329|O00459|P27986|P42336|P42338|Q92569	P40189|P42702
P40189|P42702	P62993
O00144|O60353|O75084|Q13467|Q14332|Q9H461|Q9NPG1|Q9ULV1|Q9ULW2|Q9UP38	O00744|O00755|O14904|O14905|O96014|P04628|P09544|P41221|P56703|P56704|P56705|P56706|Q93097|Q93098|Q9GZT5|Q9H1J5|Q9H1J7|Q9UBV4|Q9Y6F9
P15018	P40189|P42702
O00144|O60353|O75084|Q13467|Q14332|Q9H461|Q9NPG1|Q9ULV1|Q9ULW2|Q9UP38	O14640|O14641|Q92997
P27361|P28482	Q99956
O60674|P23458|P52333	P40763
P35222	P36402
O00329|O00459|P27986|P42336|P42338|Q92569	P11362|P21802|P22455|P22607
P01111|P01112|P01116	P11362|P21802|P22455|P22607
O00329|O00459|P27986|P42336|P42338|Q92569	P31749|P31751|Q9Y243
P36507|Q02750	P62993
O00238|P36894|Q04771|Q13873	P12644
O15119	P27361|P28482
O00329|O00459|P27986|P42336|P42338|Q92569	gene
P27037|P36896|Q13705|Q8NER5	Q96S42
P04049	P36507|Q02750
P35222	gene
P01111|P01112|P01116	P04049
P27037|P36896|Q13705|Q8NER5	P84022|Q15796
P27361|P28482	P36507|Q02750
P84022|Q15796	Q13485
O00238|P36894|Q04771|Q13873	P27361|P28482
O00238|P36894|Q04771|Q13873	O15264|P53778|Q15759|Q16539
P15923	P35222
P01106	P49841
O60674|P23458|P52333	P40189|P42702
O14640|O14641|Q92997	P49841
