P40763|P42224	P52333
Q06330|Q9UBG7	Q86X95|Q96ST3|Q9Y618
O60603	Q99836
O15264|P53778|Q15759|Q16539	P46734|P52564
Q14164|Q9UHD2	Q92985
Q13114	Q14164|Q9UHD2
O00716|Q01094|Q14209	gene
O00221|P25963|Q15653	O14920|O15111|Q9Y6K9
P55957	Q07812|Q16611
P01889|P04439|P10321|P13747|P17693|P30511	P61769
P55957	gene
O00221|P25963|Q15653	P19838|Q04206
O95786	Q7Z434
P17181|P48551	P29597
P24941	P38936
P43405	P43405
P46527	Q13309
O00329|O00459|P27986|P42336|P42338|Q92569	P63000
P51617|Q9NWZ3	Q15750|Q9NYJ8
O43318|Q9Y4K3	gene
Q00653|Q01201	gene
P17181|P48551	P23458
O14920|O15111|Q9Y6K9	O43318|Q9Y4K3
P25445	Q13158
P42574	Q14790
P06400	Q13309
Q14164|Q9UHD2	Q14653
O15111	Q99558
O00329|O00459|P27986|P42336|P42338|Q92569	O00463|Q13114
P23458	P42224|P52630|Q00978
P46734|P52564	Q12933|Q13546
Q14790	gene
O14733|P45985	O43318
P04637	Q93009
P29597	P42224|P52630|Q00978
P07948	P07948
O00329|O00459|P27986|P42336|P42338|Q92569	gene
O15533	P27797|P30101
P51617|Q9NWZ3	gene
Q06187|Q8WV28	gene
P01889|P04439|P10321|P13747|P17693|P30511	P27797|P30101
O14920|O15111|Q9Y6K9	O43318
O14733|P45985	P45983|P45984|P53779
P01562|P01563|P01566|P01567|P01568|P01569|P01570|P01571|P01574|P05013|P05014|P05015|P32881	P17181|P48551
Q13114	gene
P55211	gene
O14727	P99999
P16885	Q06187|Q8WV28
O43318|Q9Y4K3	Q15628
Q12933|Q13546	Q15628
P05412	P45983|P45984|P53779
O15264|P53778|Q15759|Q16539	P05412
