P01308	P06213
P04406	gene
O14654|P35568|Q9Y4H2	O14920|O15111|Q9NYM4
O00213	gene
O95197|Q9NQC3	P56817|Q9Y5Z0
Q13158	Q14790
O00329|O00459|P27986|P42336|P42338|Q92569	O14654|P35568|Q9Y4H2
P05141|P12235|P12236|P21796|P30405|P45880|Q9H0C2|Q9Y277	Q08752
P55957	gene
P36507|Q02750	P49841
P01111|P01112|P01116	Q15109
O75460	P17861
O14733	P45983|P45984|P53779
A8MW95|Q14457	Q9C0C7
P42574	P55211
Q2TAZ0|Q96BY7	Q5MNZ9|Q9Y4P8
P05067	Q13564
P07384|P17655	Q15078
P18850	P49768|P49810
P04049|P10398|P15056	P49841
P05198	P18848
O14654|P35568|Q9Y4H2	P19525
P16298|P48454|P63098|Q08209|Q96LZ3	Q92934
gene	gene
O14654|P35568|Q9Y4H2	gene
P49768|P49810	Q9NZJ5
P02649|P06858	Q07954
P01111|P01112|P01116	P04049|P10398|P15056
Q12933	Q99683
P16298|P48454|P63098|Q08209|Q96LZ3	P49841
O14654|P35568|Q9Y4H2	P45983|P45984|P53779
P10636	P55210
E9PQ53|O00217|O00483|O14561|O15239|O43181|O43674|O43676|O43677|O43678|O43920|O75251|O75306|O75380|O75438|O75489|O95139|O95167|O95168|O95169|O95178|O95182|O95298|O95299|O96000|P03886|P03891|P03897|P03901|P03905|P03915|P03923|P17568|P19404|P28331|P49821|P51970|P56181|P56556|Q16718|Q16795|Q86Y39|Q9NRX3|Q9NX14|Q9P0J0|Q9UI09|Q9Y6M9	P10636
P01375	P19438
O14733	gene
O00744|O00755|O14904|O14905|O96014|P04628|P09544|P41221|P56703|P56704|P56705|P56706|Q93097|Q93098|Q9GZT5|Q9H1J5|Q9H1J7|Q9UBV4|Q9Y6F9	O94907|Q9UBT3|Q9UBU2
P04049|P10398|P15056	P36507|Q02750
A6NHL2|P0DPH7|P0DPH8|P68363|P68366|Q6PEY2|Q71U36|Q9BQE3|Q9NY65	gene
P04350|P07437|P68371|Q13509|Q13885|Q3ZCM7|Q9BUF5|Q9BVA1|Q9H4B7	gene
P27361|P28482	P36507|Q02750
P50148	Q00722|Q01970|Q15147|Q9NQ66
P04839|Q9NPH5|Q9Y5S8	Q15109
P35222	P49841
P0DP23|P0DP24|P0DP25|P27482|Q8TD86|Q96GE6|Q9NZT1	P16298|P48454|P63098|Q08209|Q96LZ3
P08912|P11229|P20309|P41594	P50148
P49768	P49841
P49768|P49810	Q15413
O75143|Q8TDY2|Q9BSB4	P42345
O60282|P33176|Q07866|Q12840|Q6P597|Q9H0B6|Q9NSK0	gene
P49768|P49810	Q14571|Q14573|Q14643
