P19438	Q15628
P16885	P43405
Q14164|Q9UHD2	Q92985
Q13114	Q14164|Q9UHD2
P48736|Q5UE93|Q8WYR1	Q8TCU6
P27361|P28482	Q16665
O00716|Q01094|Q14209	P06400
P17181|P48551	P29597
Q07812	gene
O15455	Q8IUC6
Q92985	Q92985
P42574	P55211
P01111|P01112|P01116	P43405
O14920|O15111|Q9Y6K9	P31749|P31751|Q9Y243
O00329|O00459|P27986|P42336|P42338|Q92569	P43405
P17181|P48551	P23458
P11802|Q00534	P38936
O14610|O14775|O60262|P16520|P50150|P50151|P59768|P61952|P62873|P62879|P63211|P63215|P63218|Q9HAV0|Q9P2W3|Q9UBI6|Q9UK08	P48736|Q5UE93|Q8WYR1
P25445	Q13158
Q16611	gene
Q14164|Q9UHD2	Q14653
P01100|P05412	P27361|P28482
P31749|P31751|Q9Y243	P42345
Q09472|Q92793	group
P06400	P11802|Q00534
Q14653	Q14653
P26651	P49137
Q14790	gene
P23458	P42224|P52630
O95166|P60520|Q9H0R8	Q6ZNE5|Q8NEB9
O95166|P60520|Q9H0R8	Q9NT62
P04141	gene
Q09472|Q92793	Q14653|Q92985
P99999	Q07812
P42224|P52630	Q00978
P05231	gene
Q12933	gene
O14920|O15111|Q9Y6K9	P25963
O60674	P40189
P19838|Q04206	P25963
O95644|Q12968|Q13469|Q14934	P16298|P48454|P63098|Q08209|Q96LZ3
P04049	P36507|Q02750
O15264|P53778|Q15759|Q16539	P52564
P29597	P42224|P52630
P40763	gene
P01111|P01112|P01116	P04049
P49137	P52564
P55957	Q14790
Q14653|Q92985	gene
P27361|P28482	P36507|Q02750
P01562|P01563|P01566|P01567|P01568|P01569|P01570|P01571|P01574|P05013|P05014|P05015|P32881	P17181|P48551
O14733|P45985	P45983|P45984|P53779
O14920|O15111|Q9Y6K9	Q12933
Q13114	gene
O15264|P53778|Q15759|Q16539	P49137
P45983|P45984|P53779	gene
P55211	gene
P0DP23|P0DP24|P0DP25|P27482|Q8TD86|Q96GE6|Q9NZT1	P16298|P48454|P63098|Q08209|Q96LZ3
P35222	P49841
O14610|O14775|O60262|P16520|P50150|P50151|P59768|P61952|P62873|P62879|P63211|P63215|P63218|Q9HAV0|Q9P2W3|Q9UBI6|Q9UK08	P01111|P01112|P01116
P01100|P05412	P45983|P45984|P53779
P19838|Q04206	P45983|P45984|P53779
P63000	Q8TCU6
