P00533	P01133
P05019	P08069
O00716|Q01094|Q14209	gene
P62993	Q07889|Q07890
P01111|P01112|P01116	Q07889|Q07890
P06400	P24385
P01111|P01112|P01116	P05129|P05771|P17252
P29353|P98077|Q6S5L8|Q92529	gene
P08069	P29353|P98077|Q6S5L8|Q92529
O00329|O00459|P27986|P42336|P42338|Q92569	P09619|P16234
P09619|P16234	P29353|P98077|Q6S5L8|Q92529
P01111|P01112|P01116	Q13554|Q13555|Q13557|Q14012|Q16566|Q8IU85|Q96NX5|Q9UQM7
P04637	Q00987
O00329|O00459|P27986|P42336|P42338|Q92569	P01111|P01112|P01116
P31749|P31751|Q9Y243	P42345
P01111|P01112|P01116	P04049|P10398|P15056
P29353|P98077|Q6S5L8|Q92529	P62993
P0DP23|P0DP24|P0DP25|P27482|Q8TD86|Q96GE6|Q9NZT1	Q13554|Q13555|Q13557|Q14012|Q16566|Q8IU85|Q96NX5|Q9UQM7
P01127|P04085	P09619|P16234
O00329|O00459|P27986|P42336|P42338|Q92569	gene
P08069	P16885|P19174
P04049|P10398|P15056	P36507|Q02750
P27361|P28482	P36507|Q02750
P09619|P16234	P16885|P19174
P16885|P19174	gene
