O60603|Q9Y2C9	Q99836
P25445	Q14790
P02745|P02746|P02747	P27797
O15264|P53778|Q15759|Q16539	P30153|P30154|P62714|P63151|P67775|Q00005|Q66LE6|Q9Y2T4
O00206	Q8IUC6
O15519	gene
O95837|P29992|P30679|P50148	Q00722|Q01970|Q15147|Q9NQ66
P01042	P30411
P30153|P30154|P62714|P63151|P67775|Q00005|Q66LE6|Q9Y2T4	P51617|Q9NWZ3
P04899|P08754|P09471|P63096	Q00722|Q01970|Q15147|Q9NQ66
gene	gene
P19438	P35228
O15264|P53778|Q15759|Q16539	gene
O14920|O15111|Q9Y6K9	P25963
P01375	P19438
Q99836	Q9NR96
P25963	gene
P27361|P28482	gene
P45985	Q9Y4K3
O95467|P38405|P63092	Q08828
P19838|Q04206	P25963
P01100|P05412	P27361|P28482
P25445	P48023
O95837|P29992|P30679|P50148	P30411
O15264|P53778|Q15759|Q16539	P01100|P05412
Q13158	Q14790
P19838|Q04206	P30153|P30154|P62714|P63151|P67775|Q00005|Q66LE6|Q9Y2T4
P01579	P15260|P38484
P51617|Q9NWZ3	gene
O00329|O00459|P27986|P42336|P42338|Q92569	P31749|P31751|Q9Y243
P36897|P37173	Q15796
P01100|P05412	P45983|P45984|P53779
Q13158	gene
P51617|Q9NWZ3	Q9Y4K3
O14920|O15111|Q9Y6K9	gene
P45983|P45984|P53779	gene
