O14543	P36956
Q9Y4H2	gene
P36956	Q86YN6
P31749|P31751|Q9Y243	P49841
P29474	gene
O15530	gene
P31749|P31751|Q9Y243	gene
O00329|O00459|P27986|P42336|P42338|Q92569	gene
O95685|P36873|P62136|P62140|Q16821|Q86XI6|Q9H7J1|Q9UQK1	P51812|Q15349|Q15418|Q9UK32
P06213	Q9Y4H2
P01308	P55055|Q13133
O95685|P36873|P62136|P62140|Q16821|Q86XI6|Q9H7J1|Q9UQK1	P13807|P54840
P55055|Q13133	gene
P23443|Q9UBS0	P42345
P19838|Q04206	P29474
P31749|P31751|Q9Y243	Q15257
O15294	Q53ET0
O00763	O43741|P54619|P54646|Q13131|Q9UGI9|Q9UGJ0|Q9Y478
gene	gene
P51812|Q15349|Q15418|Q9UK32	gene
O95685|P36873|P62136|P62140|Q16821|Q86XI6|Q9H7J1|Q9UQK1	P06737|P11216|P11217
O00329|O00459|P27986|P42336|P42338|Q92569	P35568
O15294	O60502
P35568	gene
Q12778	gene
P01375	P19438
P25963	gene
P35568	P45983|P45984|P53779
P45983|P45984|P53779	Q02156
O00329|O00459|P27986|P42336|P42338|Q92569	Q05513
Q07869	Q9UBK2
P49841	gene
P13807|P54840	P49841
P19838|Q04206	P25963
O43889|P16220|Q02930|Q68CJ9|Q70SY1|Q8TEY5|Q96BA8	Q9UBK2
Q15257	Q9HAP2|Q9NP71|Q9UH92
P36956	P55055|Q13133
P19438	P45983|P45984|P53779
P31749|P31751|Q9Y243	Q96RU7
Q9HAP2|Q9NP71|Q9UH92	gene
P29474	P31749|P31751|Q9Y243
O43889|P16220|Q02930|Q68CJ9|Q70SY1|Q8TEY5|Q96BA8	gene
O15530	P31749|P31751|Q9Y243
P01308	P06213
P05231	P40763
Q96RU7	gene
P31749|P31751|Q9Y243	Q12778
P45983|P45984|P53779	gene
O14920	P35568
