O15264|P53778|Q15759|Q16539	P01100|P05412
P04090|P04808	Q8WXD0
P00533	P62993
O43306|O60266|O60503|O95622|P40145|P51828|Q08462|Q08828|Q8NFM4	O95467|P63092
O14610|O14775|O60262|P16520|P50150|P50151|P59768|P61952|P62873|P62879|P63211|P63215|P63218|Q9HAV0|Q9P2W3|Q9UBI6|Q9UK08	gene
O00329|O00459|P27986|P42336|P42338|Q92569	P12931
O95467|P63092	gene
P01111|P01112|P01116	Q07889|Q07890
O14610|O14775|O60262|P16520|P50150|P50151|P59768|P61952|P62873|P62879|P63211|P63215|P63218|Q9HAV0|Q9P2W3|Q9UBI6|Q9UK08	Q00722|Q01970|Q15147|Q9NQ66
O43306|O60266|O60503|O95622|P40145|P51828|Q08462|Q08828|Q8NFM4	P04899|P08754|P63096
O00329|O00459|P27986|P42336|P42338|Q92569	O14610|O14775|O60262|P16520|P50150|P50151|P59768|P61952|P62873|P62879|P63211|P63215|P63218|Q9HAV0|Q9P2W3|Q9UBI6|Q9UK08
P09471	gene
P04899|P08754|P63096	gene
O14733|P45985	P17252
O14733|P45985	O15264|P53778|Q15759|Q16539
Q8WXF3	Q9NSD7
P01137	P36897|P37173
P12931	P29353|P98077|Q6S5L8|Q92529
P32121|P49407	gene
O95622	Q05513
O43306|O60266|O60503|O95622|P40145|P51828|Q08462|Q08828|Q8NFM4	P09471
O14610|O14775|O60262|P16520|P50150|P50151|P59768|P61952|P62873|P62879|P63211|P63215|P63218|Q9HAV0|Q9P2W3|Q9UBI6|Q9UK08	O95467|P63092
O43889|P15336|P16220|P18848|Q02930|Q68CJ9|Q70SY1|Q8TEY5|Q96BA8|Q99941	P17612|P22612|P22694
gene	gene
P01100|P05412	P27361|P28482
P30679	Q00722|Q01970|Q15147|Q9NQ66
P30679	gene
O14610|O14775|O60262|P16520|P50150|P50151|P59768|P61952|P62873|P62879|P63211|P63215|P63218|Q9HAV0|Q9P2W3|Q9UBI6|Q9UK08	P04899|P08754|P63096
P29353|P98077|Q6S5L8|Q92529	P62993
P09471	Q8WXD0
P05305	P14780
P29353|P98077|Q6S5L8|Q92529	Q07889|Q07890
P01111|P01112|P01116	gene
P19838|Q04206	P25963
O95467|P63092	Q9HBX9
O14610|O14775|O60262|P16520|P50150|P50151|P59768|P61952|P62873|P62879|P63211|P63215|P63218|Q9HAV0|Q9P2W3|Q9UBI6|Q9UK08	P09471
P04049	P36507|Q02750
P04899|P08754|P63096	P24530
P09471	P24530
P36897|P37173	Q15796
O00329|O00459|P27986|P42336|P42338|Q92569	P04049
O43306|O60266|O60503|O95622|P40145|P51828|Q08462|Q08828|Q8NFM4	gene
P01111|P01112|P01116	P04049
P04899|P08754|P63096	Q9HBX9
P09471	Q9HBX9
P27361|P28482	P36507|Q02750
P29474	P31749|P31751|Q9Y243
O14733|P45985	P45983|P45984|P53779
P17612|P22612|P22694	P25963
Q8TDU9	Q9Y5Q6
P01100|P05412	P45983|P45984|P53779
P17252	P25963
