P46734	Q9Y6R4
P19838|Q00653|Q01201|Q04206	Q99558
P27361|P28482	Q9BUB5|Q9HBH9
O15264|P53778|Q15759|Q16539	P15336
P16298|P48454|P63098|Q08209|Q96LZ3	Q12968
O14807|P01111|P01112|P01116|P10301|P62070	P20936
P0DMV8|P0DMV9|P11142|P17066|P34931|P54652	P45983|P45984|P53779
O14944|O15123|O15520|O43320|O43915|O43921|O60258|O76093|O95750|P01127|P01133|P01135|P01138|P01308|P01344|P04085|P05019|P05230|P08620|P09038|P09603|P10767|P11487|P12034|P14210|P15514|P15692|P20783|P20827|P21583|P21781|P23560|P31371|P34130|P49763|P49765|P49767|P49771|P52797|P52798|P52803|P55075|Q15389|Q9GZP0|Q9GZV9|Q9HCT0|Q9NP95|Q9NRA1|Q9NSA1|Q9Y264	P00533|P04626|P04629|P06213|P07333|P08069|P08138|P08581|P09619|P10721|P11362|P16234|P17948|P21802|P21860|P22455|P22607|P29317|P35916|P35968|P36888|Q02763|Q15303|Q16620
Q13387|Q9UQF2	Q92918
P0C869|P47712|Q3MJ16|Q68DD2|Q86XP0|Q9UP65	P27361|P28482
O14920|O15111|Q9Y6K9	Q99558
Q99558	gene
gene	gene
P27361|P28482	gene
P28324	gene
P31749|P31751|Q9Y243	Q99683
O14807|P01111|P01112|P01116|P10301|P62070	Q9Y4G8
P35236|P51452|P54829|Q15256	P45983|P45984|P53779
P14778|Q9NPH3	Q99836
P11831	P19419
O00305|O00555|O43497|O60359|O60840|O95180|P54284|P54289|P62955|Q00975|Q01668|Q02641|Q06432|Q08289|Q13698|Q13936|Q15878|Q7Z3S7|Q8IZS8|Q8WXS5|Q9BXT2|Q9NY47|Q9P0X4|Q9UBN1|Q9UF02|Q9Y698	O95267|Q7LDG7|Q8IV61|Q8TDF6
O14807|P01111|P01112|P01116|P10301|P62070	Q07889|Q07890
O14807|P01111|P01112|P01116|P10301|P62070	P04049
P01100|P05412	P45983|P45984|P53779
P52564	Q7L7X3|Q9H2K8|Q9UL54
O15264|P53778|Q15759|Q16539	P35638
P45983|P45984|P53779	P46108|P46109
P51617|Q9NWZ3	Q9Y4K3
O75369|P21333|Q14315	gene
P45983|P45984|P53779	gene
P01137|P10600|P61812	P36897|P37173
P18848	Q9BUB5|Q9HBH9
P62993	Q07889|Q07890
P53041	Q99683
P32121|P49407	gene
P42574	Q13233
P45983|P45984|P53779	Q12968
O14807|P01111|P01112|P01116|P10301|P62070	P21359
O14807|P01111|P01112|P01116|P10301|P62070	O14827|Q13972
P45985	Q9UPT6
Q12933	Q15750
Q13387|Q9UQF2	Q16584
P35813	P52564
P45983|P45984|P53779	Q13387|Q9UQF2
O15264|P53778|Q15759|Q16539	P30305
O15264|P53778|Q15759|Q16539	P61244
P15056	P61224|P62834
P52564	gene
O15264|P53778|Q15759|Q16539	P04637
P25445	P48023
P04049	P05129|P05771|P17252
O15264|P53778|Q15759|Q16539	P49137|Q16644
O14920|O15111|Q9Y6K9	gene
O14807|P01111|P01112|P01116|P10301|P62070	P10398
P46108|P46109	gene
O15264|P53778|Q15759|Q16539	Q05923|Q13115|Q13202|Q16690|Q16829|Q99956|Q9BY84|Q9Y6W6
O14920|O15111|Q9Y6K9	P19838|Q00653|Q01201|Q04206
Q16584	Q92918
O14807|P01111|P01112|P01116|P10301|P62070	O95267|Q7LDG7|Q8IV61|Q8TDF6
Q12851	gene
P04792	Q8IW41
Q9UER7	gene
P10636	P27361|P28482
O75582|O75676	P18848
O43318	O75688
P27361|P28482	P51812|Q15349|Q15418|Q9UK32
O15264|P53778|Q15759|Q16539	Q06413
P00533|P04626|P04629|P06213|P07333|P08069|P08138|P08581|P09619|P10721|P11362|P16234|P17948|P21802|P21860|P22455|P22607|P29317|P35916|P35968|P36888|Q02763|Q15303|Q16620	P62993
P36507	Q9UHA4
O14807|P01111|P01112|P01116|P10301|P62070	P15056
Q9Y4K3	gene
Q9NYJ8	Q9Y4K3
P45983|P45984|P53779	Q03112
P15153|P60763|P60953|P63000	Q13153|Q13177
P01583|P01584	P14778|Q9NPH3
O14807|P01111|P01112|P01116|P10301|P62070	Q15283
Q13163	Q13164
P18848	P49137|Q16644
P41279	Q99558
O15264|P53778|Q15759|Q16539	P28324
P42574	Q13153|Q13177
P45983|P45984|P53779	Q9UPT6
P27361|P28482	P28562|Q05923|Q13115|Q13202|Q16690|Q16828|Q16829|Q99956|Q9BY84|Q9Y6W6
O00305|O00555|O43497|O60359|O60840|O95180|P54284|P54289|P62955|Q00975|Q01668|Q02641|Q06432|Q08289|Q13698|Q13936|Q15878|Q7Z3S7|Q8IZS8|Q8WXS5|Q9BXT2|Q9NY47|Q9P0X4|Q9UBN1|Q9UF02|Q9Y698	O14827|Q13972
P16949	P27361|P28482
O95644	P45983|P45984|P53779
Q13043|Q13188	gene
Q16584	gene
O95644	P16298|P48454|P63098|Q08209|Q96LZ3
P51617|Q9NWZ3	Q99836
P17612|P22612|P22694	P61224|P62834
