P04049	P17252
P42574	gene
O60674|P23458	P15260|P38484
O95786	Q14258
Q07812	gene
P19525	gene
P25685	Q13217
Q14164|Q9UHD2	Q14653
Q13158|Q15628	Q14790
O00220|O14763	P50591
P99999	Q07812
Q99836	Q9NYK1
P01562|P01563|P01566|P01567|P01568|P01569|P01570|P01571|P05013|P05014|P05015|P32881	P17181|P48551
O14543	P42224|P52630
O14920|O15111|Q9Y6K9	P25963|Q15653
P01574	P17181|P48551
Q13137	Q9UHD2
O00220|O14763	Q13158|Q15628
P55957	Q14790
P19838|Q04206	P25963|Q15653
gene	gene
Q16611	gene
P36507|Q02750	gene
P27361|P28482	P36507|Q02750
P25445	Q13158|Q15628
Q7Z434	gene
Q13114	Q14164|Q9UHD2
O60674|P23458	P42224
Q13114	gene
O95760	gene
P05198	P19525
Q14116	gene
O14920|O15111	gene
O15455	Q8IUC6
P55211	gene
O15111	Q9NWZ3
P42224|P52630	Q00978
P17181|P48551	P23458|P29597
P25445	P48023
P01579	P15260|P38484
P01584	P29466
P14324	Q8WXG1
P23458|P29597	P42224|P52630
Q7Z434	Q9BYX4
O14727	P55211
O14920|O15111|Q9Y6K9	gene
O14920|O15111	P25963|Q15653
