P45954	Q92947
P09110|P42765|P55084	P16219
P28330	P30084|P40939|Q08426
P30084|P40939|Q08426	Q08426|Q16836
P09110|P42765|P55084	P40939
P24752|Q9BWD1	P45954
P11310	P30084|P40939|Q08426
P16219	P24752|Q9BWD1
P09110|P42765|P55084	Q08426|Q16836
O15254|Q15067	P30084|P40939|Q08426
P24752|Q9BWD1	P40939
O15254|Q15067	P09110|P42765|P55084
P30084|P40939|Q08426	P49748
P50416|Q8TCG5|Q92523	gene
P30084|P40939|Q08426	P45954
P23786	P28330
P24752|Q9BWD1	Q08426|Q16836
O15254|Q15067	gene
P00325|P00326|P07327|P08319|P11766|P28332|P40394	P05091|P30837|P49189|P49419|P51648
P11310	P24752|Q9BWD1
P30084|P40939|Q08426	P40939
P09110|P42765|P55084	P24752|Q9BWD1
P09110|P42765|P55084	P28330
P16219	P30084|P40939|Q08426
O15254|Q15067	P24752|Q9BWD1
P09110|P42765|P55084	P49748
O60488|O95573|P33121|Q5FVE4|Q96GR2|Q9UKU0|Q9ULC5	P50416|Q8TCG5|Q92523
P05091|P30837|P49189|P49419|P51648	Q02928|Q5TCH4
P09110|P42765|P55084	P45954
P09110|P42765|P55084	P11310
