P84022	Q13485
O00716|Q01094|Q14209	gene
P00519|P11274	P01106
P01111|P01112|P01116	Q07889|Q07890
P06400	P24385
P62993	Q9UQC2
Q07817	Q92934
Q07889|Q07890	gene
O14920|O15111|Q9Y6K9	P31749|P31751|Q9Y243
P00519|P11274	P29353|P98077|Q6S5L8|Q92529
P00519|P11274	P62993
O00329|O00459|P27986|P42336|P42338|Q92569	P22681
O00329|O00459|P27986|P42336|P42338|Q92569	P31749|P31751|Q9Y243
P04637	Q00987
P01137|P10600|P61812	P36897|P37173
Q06124	gene
P01111|P01112|P01116	P04049|P10398|P15056
P31749|P31751|Q9Y243	Q92934
P31749|P31751|Q9Y243	P46527
O14920|O15111|Q9Y6K9	P25963
O00329|O00459|P27986|P42336|P42338|Q92569	gene
P19838|Q04206	P25963
P04049|P10398|P15056	P36507|Q02750
P00519|P11274	P22681
P31749|P31751|Q9Y243	Q00987
P27361|P28482	P36507|Q02750
P36897|P37173	P84022
P00519|P11274	P42229|P51692
