P31749|P31751|Q9Y243	P49841
O00329|O00459|P27986|P42336|P42338|Q92569	P15391
O15357|Q92835	P31994
Q06187	gene
P15498|P52735|Q9UKW4	gene
O00221|P25963|Q15653	O14920
P62993	Q07889|Q07890
P15153|P60763|P63000	Q9UN19
O00329|O00459|P27986|P42336|P42338|Q92569	Q6ZUJ8
P20273	P29350
A6NI73|O75019|O75022|O75023|P59901|Q8N149|Q8N6C8|Q8NHJ6|Q8NHL6	P29350
Q9UN19	gene
P43405	Q8WV28
P62993	gene
Q6ZUJ8	gene
gene	gene
P27361|P28482	P36507|Q02750
P04049	P36507|Q02750
P11912	gene
P01111|P01112|P01116	P04049
P05771	Q9BXL7
O14920|O15111|Q9Y6K9	P31749|P31751|Q9Y243
P16885	Q8IV61
O95644|Q12968|Q13469	P16298|P48454|P63098|Q08209|Q96LZ3
P01111|P01112|P01116	gene
P01100|P05412	P01111|P01112|P01116
P15391	P15498|P52735|Q9UKW4
O95999|Q9BXL7|Q9UDY8	Q9Y6K9
P40259	gene
O00329|O00459|P27986|P42336|P42338|Q92569	P31749|P31751|Q9Y243
P01100|P05412	P27361|P28482
O00221|P25963|Q15653	P19838|Q04206
P15153|P60763|P63000	P15498|P52735|Q9UKW4
P21854	gene
P07948	P15391
