O75888	Q02223
Q9UNG2	Q9Y5U5
O14836	gene
P10147|P16619	P32246
P36894|Q13873	Q7Z4P5
P14778|Q9NPH3	P18510
P18075	Q04771|Q13873
O00238|P27037	P22004
O95150	Q93038
P17181|P48551	Q9P0W0
P01138	P08138
P18075	P36894|Q13705
P12643	P36894|Q13705
Q9NPB9	gene
P13232	P16871|P31785
P09341|P19875|P19876	P25025
P32246	gene
O00300	O14788
P05112	P24394
P51677	P55773|Q16663
P25942	P29965
O00238|Q13873	O95972
O43508	Q9NP84
P05231	P08887|P40189
P22004	Q04771|Q13705
P13725	P40189|P42702
O95407	gene
Q6UXL0|Q8N6P7	Q9NYY1
P22003	P27037|Q04771
P24394|Q14627	gene
Q08334|Q8IU57	Q8IZI9|Q8IZJ0
P28908	P32971
P02776|P10720	P49682
P36894|Q13873	P43026
P01579	P15260|P38484
Q16552	Q8NAC3|Q96F46
Q92838	Q9UNE0
P05113	P32927|Q01344
Q6EBC2	Q8NI17|Q99650
Q8NFR9	Q9P0M4
P26441	P26992|P40189|P42702
P41597	gene
P51684	P78556
P13501	P51681
P36894|Q13873	Q6KF10
Q08334|Q9UHF4	Q9NPH9
P12643	P27037|P36894
O95407	P48023
P22004	P36894|Q13873
P12644	P36894|Q13873
P24394|Q14627	P35225
P26992|P40189|P42702	Q9UBD9
P22004	Q04771|Q13873
Q9HB29|Q9NPH3	Q9NZH7
Q6UXL0|Q9UHF4	Q9UHD0
P49682	Q07325
P14784|P31785|Q13261	P40933
P01562|P01563|P01566|P01567|P01568|P01569|P01570|P01571|P05013|P05014|P05015|P32881	P17181|P48551
P25445	gene
P01574	P17181|P48551
P26842	P32970
P42701|Q5VWK5	Q9NPF7
Q08334|Q8N6P7	Q9GZX6
P51677	gene
O00238|P27037	P22003
P36941	gene
O00238|Q13873	P12644
Q9HB29|Q9NPH3	Q9UBH0
P22003	Q04771|Q13705
O43557	Q92956
O95256|Q13478	Q14116
P18075	P27037|P36894
P05112	P24394|P31785
P22004	P36894|Q13705
P20333	gene
P12644	P36894|Q13705
Q8WWZ1	Q9HB29|Q9NPH3
O14836	Q9Y275
P14784|P31785	P60568
O00238|Q13705	Q7Z4P5
O14798	P50591
O00238|Q13705	P34820|Q7Z5Y6
P01588	P19235
P16871|Q9HC73	Q969D9
Q9Y6Q6	gene
O00574	Q9H2A7
P23510	P43489
P17181|P48551	Q86WN2
Q6UXL0|Q9UHF4	Q9NYY1
Q9HB29|Q9NPH3	Q9UHA7
O00238|Q13873	Q6KF10
O95760	Q01638|Q9NPH3
P02775	P25025
O00238|Q13873	P18075
P15248	P31785|Q01113
O00238|Q13873	Q7Z4P5
P05000	P17181|P48551
P27037|Q04771	P34820|Q7Z5Y6
P31785|Q9HBE5	Q9HBE4
P22003	P36894|Q13873
Q13007	Q6UXL0|Q9UHF4
O00238|Q13873	P34820|Q7Z5Y6
O15444	P51686
P36894|Q13705	Q7Z4P5
Q92838	Q9HAV5
P22003	Q04771|Q13873
P09919	Q99062
O43927	P32302
P48061	P61073
O00238|Q13705	P12644
Q96F46|Q9NRM6	Q9H293
Q99731	Q9NPB9
O00238|Q13705	P43026
P04141	P15509|P32927
P22003	P36894|Q13705
P10145	P25024
P46092	Q9Y4X3
O00238|P27037	P12644
P32246	Q16627
P41273	Q07011
O00238|Q13705	Q6KF10
O00238|Q13873	P43026
P22004	P27037|P36894
P35225	P78552
O00238|Q13705	P18075
P24394|P78552	gene
O14793	P36896|Q13705
P51679	Q92583
P25106	gene
Q92956	gene
P12644	P27037|P36894
P36894|Q13705	P43026
P25025	P42830|P80162
P18075	P27037|Q04771
P34820|Q7Z5Y6	Q04771|Q13705
P10147|P16619	P51681
Q9UBN6	gene
O00238|Q13705	P22004
O14793	P36897|Q13705
O00585	P32248
P01241|P01242|P0DML2|P0DML3	P10912
P20809	P40189|Q14626
O00238|Q13873	P12643
P27037|P36894	Q6KF10
P40189|P42702	Q16619
O00238|P27037	Q6KF10
P22362	P51685
P25024	P42830|P80162
O00238|P27037	P18075
P32248	gene
P36894|Q13705	Q6KF10
P01583	P14778|Q9NPH3
P27037|P36894	Q7Z4P5
O00238|P27037	Q7Z4P5
P27037|P36894	P34820|Q7Z5Y6
O00238|P27037	P34820|Q7Z5Y6
P40189|Q6UWB1	Q8NEV9
P51677	Q99616
P01730	Q14005
O00238|Q13873	P22004
P24394|P78552	P35225
P41597	P80098
P01236	P16471
P01583	P27930
P36941	Q06643
O00220|O14763	P50591
P29459|P29460	P42701|Q99665
Q9HB29|Q9NPH3	Q9NZH8
O00238|Q13873	P22003
P34820|Q7Z5Y6	P36894|Q13873
P51671	P51677
P34820|Q7Z5Y6	Q04771|Q13873
Q13007	Q6UXL0|Q8N6P7
P22003	P27037|P36894
P41159	P48357
P15018	P40189|P42702
P18075	Q04771|Q13705
P80075	Q9NPB9
Q9NRM6	Q9UHF5
P13236|Q8NHW4	P51681
P01374	P20333
P40225	P40238
Q8NAC3|Q96F46	Q96PD4
P25025	gene
P01375	P19438
O95256|Q13478	Q9NZH6
P34820|Q7Z5Y6	P36894|Q13705
P12643	P36894|Q13873
O00238|Q13705	P12643
P13725	P40189|Q99650
P27037|P36894	P43026
O00238|P27037	P43026
P07333	Q6ZMJ4
P01589|P14784|P31785	P60568
P08700	P26951|P32927
Q14627	gene
Q96RJ3	gene
P22301	Q08334|Q13651
P22004	P27037|Q04771
P01584	P14778|Q9NPH3
O00238|P27037	P12643
P46094	P47992
P49238	P78423
P18075	P36894|Q13873
O00238|Q13705	P22003
Q08334|Q8IU57	Q8IU54
