P05412	P45983|P45984|P53779
O95140|Q8IWA4	gene
O14807|P01111|P01112|P01116|P10301|P62070	Q16665
P18848	Q9NZJ5
P19784|P67870|P68400|Q8NEV1	Q8IVP5
O95166|P60520|Q9H0R8	Q8TC07|Q9HA65
O43524	Q99967
Q07817	Q96HS1
O95140	gene
O95166|P60520|Q9H0R8	Q8IVP5
Q9H1Y0	gene
Q8TC07|Q9HA65	Q9Y3D6
O95166|P60520|Q9H0R8	Q86VP1
O95166|P60520|Q9H0R8	Q96CV9
P0CG47|P0CG48|P62979|P62987	gene
O95166|P60520|Q9H0R8	Q13137
A8MW95|Q14457	gene
O60238	O95166|P60520|Q9H0R8
O95166|P60520|Q9H0R8	Q12983
O60260	Q9C0C7
gene	gene
Q12983	gene
Q07817	gene
Q9BXM7	Q9P0U1
Q13137	gene
Q13501	Q9UHD2
O95166|P60520|Q9H0R8	gene
Q8IXI1|Q8IXI2	gene
P12931	Q8IVP5
O75030|P19484|P19532	Q9H1Y0
O95166|P60520|Q9H0R8	Q14596
P51149|Q96AH8	Q8TC07|Q9HA65
O95166|P60520|Q9H0R8	Q9BXK5
Q96CV9	gene
Q674R7|Q7Z3C6	gene
O75030|P19484|P19532	Q674R7|Q7Z3C6
