Q96GX9	Q9UHY7
O43865|P23526|Q96HN2	Q16773|Q6YP21
P00338|P07195|P07864|Q6ZMR3|Q9BYZ2	P25325|Q16762
P48506|P48507	P48637
O43865|P23526|Q96HN2	Q9H2M3
Q96RQ9	gene
Q96RQ9	Q9H2M3
O43175	Q9Y617
Q16773|Q6YP21	Q99707
Q13126	gene
O15382|P54687	gene
P25325|Q16762	P32929
gene	gene
Q13126	Q9BV20
P0DN79|P35520	Q99707
P17707	P19623
P48506|P48507	Q9BYV1
P25325|Q16762	Q16773|Q6YP21
Q16773|Q6YP21	Q93088
P52788	gene
Q9BYV1	gene
P00505|P17174	P32929
P17735	Q99707
P17707	P31153|Q00266|Q9NZL9
P17707	P26358|Q9UBC3|Q9Y6K1
O43865|P23526|Q96HN2	Q99707
P00505|P17174	P25325|Q16762
O43865|P23526|Q96HN2	P26358|Q9UBC3|Q9Y6K1
Q9BV57	Q9BV57
O15382|P54687	P48506|P48507
P31153|Q00266|Q9NZL9	Q93088
P32929	Q16878
P00338|P07195|P07864|Q6ZMR3|Q9BYZ2	P00505|P17174
P00505|P17174	Q16773|Q6YP21
Q16773|Q6YP21	gene
P0DN79|P35520	Q93088
Q16773|Q6YP21	Q9H2M3
O43865|P23526|Q96HN2	P0DN79|P35520
P32929	Q16773|Q6YP21
P00505|P17174	gene
P00505|P17174	P40925|P40926
P31153|Q00266|Q9NZL9	gene
P26358|Q9UBC3|Q9Y6K1	P31153|Q00266|Q9NZL9
O43865|P23526|Q96HN2	Q93088
P32929	gene
P0DN79|P35520	Q9H2M3
