Q8WWW0	Q9NS23
P04626	P62993
P31749|P31751|Q9Y243	Q92934
P62993	Q07889|Q07890
O00329|P42336|P42338	P04626
P08581	P14210
O00329|P42336|P42338	P00533
P06400	P24385
P40763|P42229|P51692	P52333
gene	gene
P01111|P01112|P01116	P04049|P10398|P15056
P27361|P28482	P36507|Q02750
P04049|P10398|P15056	P36507|Q02750
P01111|P01112|P01116	Q07889|Q07890
P01111|P01112|P01116	Q9HC35|Q9UM73
O00716|Q01094|Q14209	gene
P01116	P04049|P10398|P15056
O00329|O00459|P27986|P42336|P42338|Q92569	P01116
O43524	P31749|P31751|Q9Y243
O00329|P42336|P42338	Q9HC35|Q9UM73
P31749|P31751|Q9Y243	P55211
P52333	Q9HC35|Q9UM73
P04049|P10398|P15056	P05129|P05771|P17252
P00533	P01135
O15530	P31749|P31751|Q9Y243
O00329|P42336|P42338	gene
P00533	P16885|P19174
P04626	P16885|P19174
