P42574	P99999
P0DP23|P0DP24|P0DP25|P27482|Q8TD86|Q96GE6|Q9NZT1	Q13554|Q13555|Q13557|Q9UQM7
O60674|P23458	P42224
P01137|P10600|P61812	P22897|Q13018|Q9UBG0
P01579	P15260
P42224	Q13554|Q13555|Q13557|Q9UQM7
P30273|Q9ULY5	P43405
P07339	gene
O43187|P51617	Q9NWZ3
P51149	Q15075
O14727|P55211|P99999	gene
P10415	Q92934
P27361|P28482	Q9Y4K3
P23511|P25208|Q13952	P25774
P58753|Q99836	Q9NWZ3
P25774	Q08334|Q13651
O15264|P53778|Q15759|Q16539	Q9Y4K3
P55957	Q07812
Q99836	group
O43353	Q9HC29
O60603	P38646
P27361|P28482	gene
P19838|Q04206	Q9Y4K3
P43405	Q9H257
O00287|O14593|P48382	P25774
Q13158|Q15628	Q14790
P01024	P05107|P20702
P01024	P17927|Q2VPA4
O15264|P53778|Q15759|Q16539	gene
P22301	P22897|Q13018|Q9UBG0
P11279|P13473	gene
gene	gene
P16220	P33076
O43187|P51617	Q9Y4K3
P27449|P61421|Q13488|Q15904|Q8N8Y2|Q93050|Q99437|Q9HBG4|Q9UI12|Q9Y487	gene
P31749|P31751|Q9Y243	Q92934
P19838|Q04206	gene
P22301	Q9H2X3|Q9NNX6
P01137|P10600|P61812	Q9H2X3|Q9NNX6
P33241|Q8IVT5|Q9H4B4	Q9H2X3|Q9NNX6
P23511|P25208|Q13952	P33076
P19438	Q13158
O00206	gene
O60603	P08571
P04049	P33241|Q8IVT5|Q9H4B4
O00206	P10809
Q99836	gene
P45983|P45984|P53779	Q9Y4K3
P12931|Q9BXN2	P43405
P11473	P49913
Q13554|Q13555|Q13557|Q9UQM7	Q8NEB9
O95999|Q9H257|Q9UDY8	P19838|Q04206
O00287|O14593|P48382	P33076
P04049	P61586
P0DP23|P0DP24|P0DP25|P27482|Q8TD86|Q96GE6|Q9NZT1	P16298|P48454|P63098|Q08209|Q96LZ3
P22301	Q08334|Q13651
P45983|P45984|P53779	gene
Q14790	Q92851
O60674|P23458	P38484
P01024	P05107|P11215
O14727|P55211|P99999	P42574
O15528	P58753|Q99836
P61586|Q9NZN5	Q9H2X3|Q9NNX6
Q99836	Q9NR96
