Q13007|Q9NYY1|Q9UHD0	Q6UXL0|Q9UHF4
O43927	P32302
P01374	P36941
O15444	P51686|Q9NPB9
O00220|O14763	P50591
P02775|P09341|P10145|P19875|P19876|P42830|P80162	P25025
P05231	P08887
P09341|P10145|P19875|P19876|P42830|P80162	P25024
O43557	Q92956
P46094	P47992|Q9UBD3
O00175|P13501|P51671|P55773|P80098|Q16663|Q99616|Q9NRJ3|Q9Y258|Q9Y4X3	P51677
Q13007|Q9NYY1	Q6UXL0|Q8N6P7
P20333	gene
O15467|P10147|P13501|P16619|P55773|P80075|P80098|Q16627|Q16663|Q99616	P32246
P13500|P80075|P80098|Q99616|Q9Y4X3	P41597
O00585|Q99731	P32248|Q9NPB9
O95256|Q13478	Q14116|Q9NZH6
P01375	P19438
P14784|P31785	P60568
Q92956	gene
P07333	Q6ZMJ4
O14798|Q9UBN6	P50591
P46092	Q9NRJ3|Q9Y4X3
P01589|P14784|P31785	P60568
O00626|P13501|Q92583	P51679
P25106|P61073	P48061
P10147|P13236|P13501|P16619|P80075|Q8NHW4	P51681
P22301	Q08334|Q13651
P22362	P51685
O14625|O43927|P02776|P02778|P10720|Q07325	P49682
P49238	P78423
P51684	P78556
