Q5MNZ9|Q9Y4P8	Q7Z6L1
Q9Y490|Q9Y4G6	gene
O15143|O15144|O15145|O15511|P59998|Q92747|Q9BPX5	gene
P42345|Q8N122|Q96B36	Q5VZM2|Q7L523|Q9HB90|Q9NQL2
P19838|Q04206	P25963|Q15653
gene	gene
P63000	Q14185
O43739|Q15438|Q99418|Q9UIA0	P62330
O60610	P60709|P63261
P18206	P60709|P63261
O15143|O15144|O15145|O15511|P59998|Q92747|Q9BPX5	P14317|Q14247
Q96CG3	Q9Y4K3
P60953	gene
O14920|O15111	O43353
P23443|Q9UBS0	P31749|P31751|Q9Y243
O14950|P10916|P19105|P24844|Q01449|Q02045|Q96A32|Q9BUA6	P60709|P63261
P63000	Q92558|Q9Y6W5
P25963|Q15653	Q9Y6K9
P01584	P29466
O75582	P68431|P84243|Q16695|Q6NXT2|Q71DI3
O75582	P27361|P28482
P04632	P20810
O75116|Q13464	gene
P99999	Q07812
Q86WV6	Q8N884
Q13137	Q5T0N5|Q96RU3
P49662	Q14116
P05556|P08648	Q9Y490|Q9Y4G6
P14317|Q14247	P46108|P46109
P61586	gene
O95166|P60520|Q9H0R8	Q13501
Q13075	Q9NPP4
Q13501	Q5T0N5|Q96RU3
Q92558|Q9Y6W5	gene
P05556|P08648	P12931
O43524|P98177|Q12778	P31749|P31751|Q9Y243
P60709|P63261	Q13418
P0CG47|P0CG48|P62979|P62987	Q13501
P04637	Q00987
O14920|O15111	group
Q92556|Q96JJ3	group
P07737|P35080|P60673|Q8NHR9	P18206
P49023	Q05397
P01584	gene
O43353	P45983|P45984|P53779
P29466|Q9ULZ3	Q96P20
P18206	gene
P31749|P31751|Q9Y243	P49840|P49841
P14778	Q9Y4K3
Q02156|Q04759|Q05655	Q12933
P05556|P08648	Q13418
Q13546|Q15628	gene
P14317|Q14247	gene
O15143|O15144|O15145|O15511|P59998|Q92747|Q9BPX5	P60709|P63261
P62330	P84077
Q13546	Q96EP0|Q9BYM8|Q9H0F6
Q14116	gene
O43353	Q92974|Q9Y239
O60610	P61586
Q7Z6L1	Q9H1Y0
P12931	P56945
O94817|Q676U5|Q9H1Y0	O95166|P60520|Q9H0R8
Q92990	Q96P20
O43707|P12814	P05556|P08648
P0CG47|P0CG48|P62979|P62987	Q13137
Q13501	Q14141|Q15019|Q16181|Q8IYM1|Q92599|Q9NVA2|Q9UH03|Q9UHD8
P05412	P45983|P45984|P53779
P29466|Q9ULZ3	gene
P18206	Q9Y490|Q9Y4G6
Q99836	Q9UHD2
O95166|P60520|Q9H0R8	Q13137
P04637	P07384|P17655
P05556|P08648	Q05397
O43707|P12814	P60709|P63261
Q14653	gene
O00329|O00459|P27986|P42336|P42338|Q92569	P00533
O95166|P60520|Q9H0R8	P01024
Q15025	Q9Y6K9
O15143|O15144|O15145|O15511|P59998|Q92747|Q9BPX5	Q92558|Q9Y6W5
P01375	P19438
O00401	P60953
O43318	Q13546
Q08752	Q12983
O14950|P10916|P19105|P24844|Q01449|Q02045|Q96A32|Q9BUA6	O75116|Q13464
O75582	Q13185
Q13137	Q14141|Q15019|Q16181|Q8IYM1|Q92599|Q9NVA2|Q9UH03|Q9UHD8
O00206	P08571
O95999|Q9UDY8	Q9Y4K3
gene	group
