Q06124	Q9UKJ1
P05198	P36873|P62136|P62140
O60674|P23458	P42224
Q13114	Q14164|Q9UHD2
P84103|Q01130|Q07955|Q08170|Q13242|Q13243|Q13247|Q16629|Q9BRL6	Q96SB4
P05106|P08648	P12931
P01579	P15260|P38484
O60603	Q99836
P05198	P19525|Q9BQI3|Q9NZJ5|Q9P2K8
P01889|P04439|P10321|P13747|P17693|P30511	P61769
P01374	Q92956
P55957	gene
O00463|Q12933	gene
Q13158	Q15628
P25445	P48023
O14727	P55211
P10415	Q92934
P17181|P48551	P23458|P29597
O15455	Q8IUC6
P27918	gene
Q07817	gene
O15111	Q92985
O00463|Q12933	O14920|O15111|Q9Y6K9
P55957	Q07812
Q13541	gene
O60674|P23458	P15260|P38484
P51617|Q9NWZ3|Q9Y4K3	gene
P42574	Q14790
P23458|P29597	P42224|P52630
Q16611	gene
P31749|P31751|Q9Y243	P49815|Q92574
P99999	Q16611
P42345	Q15382
gene	gene
Q13158	gene
P99999	gene
Q14164|Q9UHD2	Q14653|Q92985
P12931	P43405
Q14790	gene
Q9H257	gene
Q7Z434	Q9BYX4
O43318	P51617|Q9NWZ3|Q9Y4K3
P42224|P52630	Q00978
O14920|O15111|Q9Y6K9	P25963
P01375	P19438
O15111	P51617|Q9NWZ3|Q9Y4K3
P01903|P01906|P01909|P01911|P01920|P04440|P06340|P13762|P13765|P20036|P28068|P79483|Q30154	P04233
P01889|P04439|P10321|P13747|P17693|P30511	P27797|P30101
O14920|O15111|Q9Y6K9	O43318
Q14653|Q92985	gene
Q14653	Q9H257
P01562|P01563|P01566|P01567|P01568|P01569|P01570|P01571|P01574|P05013|P05014|P05015|P32881	P17181|P48551
Q86WV6	Q9UHD2
Q13114	gene
P55211	gene
O14543	P23458|P29597
P01024	P01031
O15533	P27797|P30101
