P01137|P10600|P61812	P36897|P37173
P11802|Q00534	P24385
P51587	Q06609
O00329|O00459|P27986|P42336|P42338|Q92569	gene
P06400	P24385
P23443|Q9UBS0	P42345
P36897	P37173
P42224	gene
P11233|P11234	gene
P45983|P45984|P53779	Q02750
P31749|P31751|Q9Y243	P42345
P04626	gene
P23458	P40763
Q07817	Q92934
P31749|P31751|Q9Y243	Q07817
O14939|Q13393	P11233|P11234
O00329|O00459|P27986|P42336|P42338|Q92569	P00533|P04626
P01116	Q12967
O00716|Q01094|Q14209	gene
P01116	P04049|P10398|P15056
P15153|P60763|P60953|P63000	Q15311
O14920|O15111|Q9Y6K9	P19838|Q04206
O14920|O15111|Q9Y6K9	P31749|P31751|Q9Y243
P31749|P31751|Q9Y243	P55211
P36897|P37173	P84022|Q15796
P27361|P28482	Q02750
P84022|Q15796	Q13485
P00533	P01135
P15153|P60763|P63000	P19838|Q04206
P19838|Q04206	P31749|P31751|Q9Y243
P15153|P60763|P63000	Q15052
P04049|P10398|P15056	Q02750
P11233|P11234	Q15311
