P46531|Q04721|Q99466|Q9UM47	P78504|Q9Y219
P15153|P60763|P61586|P63000	P45983|P45984|P53779
P05412	P27361|P28482
O95267|Q7LDG7|Q8IV61|Q8TDF6	P01111|P01112|P01116
O60674|P23458|P52333	P42229|P51692
P36888	P49771
P01127|P04085	P09619|P16234
Q07889|Q07890	gene
P10276|P29590	P17947
P01111|P01112|P01116	P07949|Q13772|Q16204
O14727	gene
P14921	P27361|P28482
P42574	P43146
P42574|P55210	P55211
P17947	Q01196|Q06455
P46527	Q13309
P10721	P62993
P01100	P27361|P28482
P01111|P01112|P01116	Q12967
gene	gene
P01111|P01112|P01116	P04049|P10398|P15056
O14939|Q13393	P11233|P11234
P00533	P01133
P01019	P25116|P30556|P43657|Q92633|Q96RI0|Q99677|Q9H1C0|Q9HBW0|Q9UBY5
P04049|P10398|P15056	P36507|Q02750
P27361|P28482	P36507|Q02750
P14923	P36402|Q9HCS4|Q9NQB0|Q9UJU2
P00734	P25116|P30556|P43657|Q92633|Q96RI0|Q99677|Q9H1C0|Q9HBW0|Q9UBY5
P01019	P24530|P25101|P30411|P46663
Q14145	Q16236
O14920|O15111|Q9Y6K9	P31749|P31751|Q9Y243
O60674|P23458|P52333	P01589|P08887|P14784|P15260|P16871|P17181|P19235|P24394|P26951|P31785|P32927|P38484|P40189|P42701|P48551|P78552|Q01344|Q13261|Q5VWK5|Q99665
P10275	P10275
P00519|P11274	P22681
P01111|P01112|P01116	P05129|P05771|P17252
P11233|P11234	Q15311
P31749|P31751|Q9Y243	P49841
O75582	P27361|P28482
P01137|P10600|P61812	P36897|P37173
Q07812	gene
P05556	Q05397
P99999	Q07812
O00329|O00459|P27986|P42336|P42338|Q92569	P01111|P01112|P01116
P05305	P24530|P25101|P30411|P46663
Q09472|Q92793	Q16665|Q99814
O00329|O00459|P27986|P42336|P42338|Q92569	P36888
P01111|P01112|P01116	P04629|P06753|P12270|Q92734
P01111|P01112|P01116	Q13554|Q13555|Q13557|Q9UQM7
O00329|O00459|P27986|P42336|P42338|Q92569	P04626
Q99835	Q9UMX1
P55957	gene
O14920|O15111|Q9Y6K9	P25963
O14640|O14641|Q92997	P49841
O00716|Q01094|Q14209	gene
P15153|P60763|P60953|P63000	Q15311
P31749|P31751|Q9Y243	P55211
P25445	P48023
Q13158	Q14790
O60674|P23458|P52333	P04626
P84022|Q15796	Q13485
Q13158	gene
Q8WWW0	Q9NS23
P04637	Q00987
P48061	P61073
Q07817	Q16611
O00329|O00459|P27986|P42336|P42338|Q92569	gene
O00548|Q9NR61|Q9NYJ7	P46531|Q04721|Q99466|Q9UM47
Q13635	Q15465
P10415	Q13794
O00329|O00459|P27986|P42336|P42338|Q92569	P22681
P19793|P28702|P48443	P37231|Q06710
P09619|P16234	P16885|P19174
P35222	P36402|Q9HCS4|Q9NQB0|Q9UJU2
O00329|O00459|P27986|P42336|P42338|Q92569	P08069
P31749|P31751|Q9Y243	P42345
O15520|O43320|O60258|O76093|O95750|P05230|P08620|P09038|P10767|P11487|P12034|P21781|P31371|P55075|Q9GZV9|Q9HCT0|Q9NP95|Q9NSA1	P11362|P21802|P22455|P22607
Q07817	Q92934
P00519|P11274	P42229|P51692
P01111|P01112|P01116	Q07889|Q07890
O60674|P23458|P52333	gene
P01106|P61244	Q13105
P01111|P01112|P01116	Q9HC35|Q9UM73
P16885|P19174	gene
P15153|P60763|P61586|P63000	Q12967
O14640|O14641|Q92997	O75474|Q92837
A4D0S4|O15230|P02462|P02751|P07942|P08572|P11047|P24043|P25391|P29400|P53420|P55268|Q01955|Q13751|Q13753|Q14031|Q16363|Q16787|Q9Y6N6	P05556
O60674|P23458|P52333	P42224
P19838|Q00653|Q04206	P25963
O00329|O00459|P27986|P42336|P42338|Q92569	Q9HC35|Q9UM73
P27540|Q9HBZ2	Q16665|Q99814
P11233|P11234	Q12967
P31749|P31751|Q9Y243	P38936
P29992|P50148	Q00722|Q01970|Q15147|Q9NQ66
O60674|P23458|P52333	P40763
P05129|P05771|P17252	P19419
P01042	P24530|P25101|P30411|P46663
P08581	P14210
P23443|Q9UBS0	P42345
O60674|P23458|P52333	P42226|P52630|Q14765
P31749|P31751|Q9Y243	P46527
O60674|P23458|P52333	Q9HC35|Q9UM73
P24530|P25101|P30411|P46663	P29992|P50148
P16885|P19174	Q9HC35|Q9UM73
P01344|P05019	P08069
P01562|P01563|P01566|P01567|P01568|P01569|P01570|P01571|P01579|P01588|P05013|P05014|P05015|P05112|P05113|P05231|P08700|P13232|P29459|P29460|P32881|P35225|P40933|P60568|Q9NPF7	P01589|P08887|P14784|P15260|P16871|P17181|P19235|P24394|P26951|P31785|P32927|P38484|P40189|P42701|P48551|P78552|Q01344|Q13261|Q5VWK5|Q99665
P0DP23|P0DP24|P0DP25|P27482|Q8TD86|Q96GE6|Q9NZT1	Q13554|Q13555|Q13557|Q9UQM7
P01106	P27361|P28482
P08069	P16885|P19174
Q2M1P5	gene
O00329|O00459|P27986|P42336|P42338|Q92569	P09619|P16234
P55211	gene
P00734	P24530|P25101|P30411|P46663
P06400	P24941
P04049|P10398|P15056	P05129|P05771|P17252
gene	group
P31749|P31751|Q9Y243	Q12778
P49715	Q01196|Q06455
