Q9BRP8	Q9Y5S9
P38919	gene
Q6I9Y2	gene
P68104|Q05639	gene
O43592	P62826
Q12769	Q8NFH4
P57740	gene
P61326|Q96A72	Q9BZI7|Q9H1J1
B5ME19|O00303|O15371|O15372|O75821|O75822|P55884|P60228|Q13347|Q14152|Q99613	P55010
Q9NWZ8	gene
Q8NI27	Q96FV9
P23588	P60842|Q14240
P52948	gene
P51114|P51116|Q06787	Q7L576|Q96F07
O95149	Q14974
Q86W42	gene
O43432|P78344|Q04637	P60842|Q14240
Q5SRE5	gene
O14893	gene
P52948	P78406
P55854|P61956|P63165|Q6EEV6	gene
O75694	Q8NFH5
Q9GZY0|Q9H1B4|Q9H4D5|Q9UBU9	gene
P37198	Q9BVL2
Q92900	Q9HAU5
P62826	Q9H814
Q9Y3F4	gene
A6NMX2|O60573|P06730	Q7L576|Q96F07
Q96D46	gene
P55735	Q8WUM0
P49792	P63279
P38919	Q9GZY0|Q9H1B4|Q9H4D5|Q9UBU9
O14980	P62826
Q8WXD5	gene
O15504	Q9GZY0|Q9H1B4|Q9H4D5|Q9UBU9
gene	gene
B5ME19|O00303|O15371|O15372|O75821|O75822|P55884|P60228|Q13347|Q14152|Q99613	O14602|O60739|P41567|P47813
Q13769	gene
P05198|P20042|P41091	P49770|Q13144|Q14232|Q9NR50|Q9UI10
Q13838	Q86V81
P57740	Q96EE3
Q9BZI7|Q9H1J1	Q9HAU5
A6NMX2|O60573|P06730	O43432|P78344|Q04637
Q15287	gene
Q9GZY0|Q9H1B4|Q9H4D5|Q9UBU9	Q9NPJ8|Q9UKK6
Q9H840	gene
P11940|Q13310|Q5JQF8|Q96DU9|Q9H361	Q9H074
Q16637	gene
P52298|Q09161	gene
Q9BZI7|Q9H1J1	Q9GZY0|Q9H1B4|Q9H4D5|Q9UBU9
P61326|Q96A72	gene
P57678	Q9UHI6
Q8NFH3	gene
P35658	Q99567
B5ME19|O00303|O15371|O15372|O75821|O75822|P55884|P60228|Q13347|Q14152|Q99613	P05198|P20042|P41091
O00422	Q9H307
P35658	gene
Q9UKV3	gene
P62826	gene
P49790	Q9HC62
Q8WUM0	gene
P46060	gene
Q9BW27	gene
P78406	Q9GZY0|Q9H1B4|Q9H4D5|Q9UBU9
Q7Z3B4	gene
P62826	Q9HAV4
Q13769	Q9GZY0|Q9H1B4|Q9H4D5|Q9UBU9
P60842|Q14240	Q9H074
P55854|P61956|P63165|Q6EEV6	P63279
O14980	O15504
Q8N1F7	Q92621
Q99567	gene
Q8TEQ6	gene
O15234	gene
