O15357|Q92835	P31994
P15153|P63000	Q92558|Q9UPY6|Q9Y6W5
P15498|P52735|Q9UKW4	gene
P53667|P53671	Q13153
P46108|P46109	gene
P07948|P08631	Q9UQC2
P07948|P08631	P12318
O14939|Q13393	Q9NRA0|Q9NYA1
O00329|O00459|P27986|P42336|P42338|Q92569	O43561
O00329|O00459|P27986|P42336|P42338|Q92569	gene
P23528|Q9Y281	P53667|P53671
P15153|P63000	Q92608
P29966|P49006	Q02156|Q05655
P07948|P08631	P08575
O00329|O00459|P27986|P42336|P42338|Q92569	P50570
P15153|P63000	P62330
P12318	P46108|P46109
P15153|P63000	P15498|P52735|Q9UKW4
P0C869|P47712|Q3MJ16|Q68DD2|Q86XP0|Q9UP65	P27361|P28482
O14986|O60331|Q99755	P62330
P12318	gene
P05129|P05771|P17252	P14598
O75015|P08637	P46108|P46109
O75015|P08637	P07948|P08631
P62330	gene
P16885|P19174	P43405
P07948|P08631	P12314
O15143|O15144|O15145|O15511|P59998|Q92747|Q9BPX5	P42768
P27361|P28482	gene
O75015|P08637	gene
O00329|O00459|P27986|P42336|P42338|Q92569	P16885|P19174
O14939|Q13393	P62330
O00329|O00459|P27986|P42336|P42338|Q92569	Q9UQC2
P23443|Q9UBS0	P31749|P31751|Q9Y243
P42768|P50552	P60953
O43150|Q8TDY4|Q9ULH1	P62330
O15143|O15144|O15145|O15511|P59998|Q92747|Q9BPX5	Q92558|Q9UPY6|Q9Y6W5
P46108|P46109	Q92608
O60733	P05129|P05771|P17252
P12314	P43405
P15498|P52735|Q9UKW4	P60953
O60733	Q02156|Q05655
O14939|Q13393	gene
P04049	Q02750
P15153|P63000	Q13153
O14986|O60331|Q99755	P15153|P63000
