Q13233	Q9Y4K3
Q86WV6	gene
O95786	Q14258
Q14164	Q9BRV8
P19838|Q04206	gene
O00571	Q9UHD2
Q13114	Q96G74
Q14164|Q9UHD2|Q9Y6K9	Q92985
O94817|Q9H1Y0	gene
Q12933	gene
Q92844	gene
P19838|Q04206	P25963|Q15653
gene	gene
A7MCY6|Q92844|Q9H6S1	Q9Y6K9
Q9Y4K3	gene
Q96C10	Q9BYX4
O15264|P53778|Q15759|Q16539	gene
Q13114	gene
Q15628	Q7Z434
Q13158	Q14790|Q92851
Q13158|Q13546	gene
O14920|O15111|Q9Y6K9	Q14790|Q92851
Q13526	Q14653
O43318	Q12933
Q14164|Q9UHD2|Q9Y6K9	Q14653
O14920	P25963|Q15653
P05161	gene
P45983|P45984|P53779	gene
