P01111|P01112|P01116	P04049
P08559|P11177|P29803	Q15118
P27361|P28482	P36507|Q02750
P01106	P27361|P28482
Q01650	gene
P42345	Q16665
P01106	Q8N6T7
P00533|P04626|P04629|P07949|P08581|P09619|P10721|P11362|P16234|P21802|P22607|P36888|Q16288	P01111|P01112|P01116
O00329|O00459|P27986|P42336|P42338|Q92569	P04626
O00329|O00459|P27986|P42336|P42338|Q92569	P31749|P31751|Q9Y243
O00329|O00459|P27986|P42336|P42338|Q92569	P08581
P04049	P36507|Q02750
O00329|O00459|P27986|P42336|P42338|Q92569	P00533
O43819	P04637
Q16665	gene
P31749|P31751|Q9Y243	P42345
